chaps_id,birthdate,sireid,cowid,registration,elecid,regname,sex,breed,birthwt,calvingease,state
1,2/14/2000,LRA,H8036,,,,2,ARAN,71,1,
2,3/6/1990,ANGS,Unknown,,,,2,AN,53,,
20000,3/6/1990,ANGS,Unknown,,,,2,AN,53,,
3,2/14/2000,LRA,H8089,,,,2,ARAN,68,1,
4,3/5/1991,ANGS,Y9X04,,,,3,AN,81,1,
5,2/15/2000,LRA,H8083,,,,2,ARAN,59,1,
6,3/2/1988,UNKNAN,U6X46,,,,1,ANHH,86,3,
7,2/16/2000,LRA,H8201,,,,3,AR,90,1,
8,3/17/1989,C133,U6X10,,,,3,CH,98,1,
9,2/16/2000,STUB,G7074,,,,2,HH,81,1,
10,3/12/1990,ANGS,Unknown,,,,2,AN,70,,
20001,3/12/1990,ANGS,Unknown,,,,2,AN,70,,
11,2/16/2000,STUB,G7030,,,,2,HH,91,1,
12,3/15/1990,C109,Unknown,,,,2,CH,102,,
20002,3/15/1990,C109,Unknown,,,,2,CH,102,,
13,2/16/2000,LRA,H8012,,,,2,AR,64,1,
14,3/15/1990,C109,Unknown,,,,2,CH,80,,
20003,3/15/1990,C109,Unknown,,,,2,CH,80,,
15,2/17/2000,142,F6026,,,,3,AN,63,1,
16,3/5/1988,UNKNAN,U6X49,,,,1,ANHH,76,1,
17,2/17/2000,SKOG,Z0X12,,,,2,CH,64,1,
18,3/17/1990,8060,Unknown,,,,2,CH,84,,
20004,3/17/1990,8060,Unknown,,,,2,CH,84,,
19,2/17/2000,176,A1105,,,,3,AN,75,1,
20,3/18/1990,C525,Unknown,,,,2,CH,90,,
20005,3/18/1990,C525,Unknown,,,,2,CH,90,,
21,2/18/2000,LRA,H8137,,,,2,AR,78,1,
22,3/18/1990,C109,Unknown,,,,2,CH,110,,
20006,3/18/1990,C109,Unknown,,,,2,CH,110,,
23,2/18/2000,LRA,H8146,,,,3,AR,70,1,
24,3/18/1990,C718,Unknown,,,,2,CH,122,,
20007,3/18/1990,C718,Unknown,,,,2,CH,122,,
25,2/18/2000,SKOG,D4386,,,,3,CH,81,1,
26,3/20/1990,C525,Unknown,,,,2,CH,82,,
20008,3/20/1990,C525,Unknown,,,,2,CH,82,,
27,2/18/2000,SKOG,E5010,,,,2,CH,86,1,
28,2/18/2000,SKOG,A1X94,,,,2,CH,97,1,
29,3/21/1990,C109,Unknown,,,,2,CH,80,,
20009,3/21/1990,C109,Unknown,,,,2,CH,80,,
30,2/18/2000,155,A1X62,,,,2,AN,70,1,
31,3/19/1992,C718,Y9X14,,,,3,CH,108,1,
32,2/19/2000,LRA,H8053,,,,3,AR,94,1,
33,3/19/1992,C919,W7046,,,,3,CH,134,1,
34,2/19/2000,1445,D4369,,,,3,AN,85,1,
35,2/19/2000,MESS,G7073,,,,2,AR,72,1,
36,3/23/1990,C525,Unknown,,,,2,CH,104,,
20010,3/23/1990,C525,Unknown,,,,2,CH,104,,
37,2/19/2000,LRA,H8124,,,,2,AR,89,1,
38,3/22/1992,C718,Y9X07,,,,3,CH,100,1,
39,2/20/2000,144,C3342,,,,3,AN,97,1,
40,2/20/2000,HP92,C3361,,,,2,HP,81,1,
41,3/26/1990,C525,Unknown,,,,2,CH,70,,
20011,3/26/1990,C525,Unknown,,,,2,CH,70,,
42,2/20/2000,MESS,H8048,,,,2,AR,71,1,
43,3/27/1990,C525,Unknown,,,,2,CH,90,,
20012,3/27/1990,C525,Unknown,,,,2,CH,90,,
44,2/21/2000,HH55,F6005,,,,3,HH,92,1,
45,3/28/1990,C109,Unknown,,,,2,CH,100,,
20013,3/28/1990,C109,Unknown,,,,2,CH,100,,
46,2/21/2000,LRA,H8230,,,,2,AR,62,1,
47,3/23/1991,ANGS,Y9X13,,,,3,AN,70,1,
48,2/21/2000,LRA,H8215,,,,2,AR,81,1,
49,3/24/1991,ANGS,Y9X14,,,,3,AN,88,1,
50,2/21/2000,LRA,H8216,,,,3,AR,80,1,
51,3/30/1990,C406,Unknown,,,,2,CH,96,,
20014,3/30/1990,C406,Unknown,,,,2,CH,96,,
52,2/21/2000,LRA,H8132,,,,2,AR,91,3,
53,2/21/2000,HP93,A1X65,,,,2,HP,97,1,
54,3/24/1991,C133,X8X02,,,,3,CH,106,1,
55,2/21/2000,HH55,A1109,,,,2,HH,68,1,
56,3/31/1990,C406,Unknown,,,,2,CH,89,,
20015,3/31/1990,C406,Unknown,,,,2,CH,89,,
57,2/21/2000,HH55,A1X64,,,,2,HH,89,1,
58,4/1/1990,ANGS,X8X02,,,,2,,72,1,
59,4/17/1989,ANW2,W7046,,,,3,AN,100,2,
60,2/22/2000,STUB,G7016,,,,3,HH,86,1,
61,4/2/1990,C406,Unknown,,,,2,CH,68,,
20016,4/2/1990,C406,Unknown,,,,2,CH,68,,
62,2/22/2000,LRA,H8016,,,,3,AR,98,1,
63,4/6/1990,8018,Unknown,,,,2,CH,80,,
20017,4/6/1990,8018,Unknown,,,,2,CH,80,,
64,2/22/2000,LRA,H8144,,,,3,AR,91,1,
65,4/8/1990,C119,Unknown,,,,2,CH,76,,
20018,4/8/1990,C119,Unknown,,,,2,CH,76,,
66,2/22/2000,HH55,D4348,,,,2,HH,80,1,
67,4/8/1990,8018,Unknown,,,,2,CH,102,,
20019,4/8/1990,8018,Unknown,,,,2,CH,102,,
68,2/22/2000,HH55,A1X60,,,,3,HH,89,1,
69,4/9/1990,C406,W7046,,,,2,CH,102,1,
70,2/22/2000,142,Z0X23,,,,3,AN,73,1,
71,4/1/1992,C718,Y9X17,,,,3,CH,86,1,
72,2/22/2000,176,C3090,,,,2,AN,79,1,
73,4/13/1990,C133,Unknown,,,,2,CH,100,,
20020,4/13/1990,C133,Unknown,,,,2,CH,100,,
74,2/22/2000,155,D4309,,,,2,AN,73,1,
75,4/14/1990,C525,Unknown,,,,2,CH,82,,
20021,4/14/1990,C525,Unknown,,,,2,CH,82,,
76,2/22/2000,SKOG,D4373,,,,3,CH,90,1,
