chaps_id,birthdate,sire_id,dam_id,regnum,elecid,regname,sex,sex_date,breed,birth_weight,calving_ease,state
10000,,,,,,,8,,,,,
10001,,UNKNAR,,148465,,,8,,AR,,,
40000,,UNKNAR,,148465,,,8,,AR,,,
10002,,UNKNAR,,151595,,,8,,AR,,,
40001,,UNKNAR,,151595,,,8,,AR,,,
10003,3/8/1992,19189990,19161582,19306637,,SR SANDI 272,8,,HH,,,
40002,3/8/1992,19189990,19161582,19306637,,SR SANDI 272,8,,HH,,,
10004,3/9/1993,19189990,19236483,19381981,,LS SANDI 372,8,,HH,,,
40003,3/9/1993,19189990,19236483,19381981,,LS SANDI 372,8,,HH,,,
10005,4/3/1993,19249880,18769107,19382093,,SR PREVA 343,8,,HH,,,
40004,4/3/1993,19249880,18769107,19382093,,SR PREVA 343,8,,HH,,,
10006,5/3/1995,19358298,19161667,19532315,,SR VENCI 5111,8,,HH,,,
40005,5/3/1995,19358298,19161667,19532315,,SR VENCI 5111,8,,HH,,,
10007,3/19/1995,19292672,19306529,19532358,,SR BRIDGET 511,8,,HH,,,
40006,3/19/1995,19292672,19306529,19532358,,SR BRIDGET 511,8,,HH,,,
10008,8/25/1995,19151357,19319084,19555135,,BB MS PATRIOT 5332,8,,HH,,,
40007,8/25/1995,19151357,19319084,19555135,,BB MS PATRIOT 5332,8,,HH,,,
10009,2/4/1996,19432948,19432956,19564652,,ORE 4040 MISS 6041,8,,HH,,,
40008,2/4/1996,19432948,19432956,19564652,,ORE 4040 MISS 6041,8,,HH,,,
10010,,19396807,19285956,19570055,,,8,,HH,,,
40009,,19396807,19285956,19570055,,,8,,HH,,,
10011,4/1/1996,19436461,18959010,19583593,,SR MANDY 622,8,,HH,,,
40010,4/1/1996,19436461,18959010,19583593,,SR MANDY 622,8,,HH,,,
10012,4/2/1996,18869978,18958920,19583594,,SR BONITA 626,8,,HH,,,
40011,4/2/1996,18869978,18958920,19583594,,SR BONITA 626,8,,HH,,,
10013,3/25/1996,19436461,19236584,19583647,,SR MANDY 616,8,,HH,,,
40012,3/25/1996,19436461,19236584,19583647,,SR MANDY 616,8,,HH,,,
10014,,UNKNAR,,274459,,,8,,AR,,,
40013,,UNKNAR,,274459,,,8,,AR,,,
10015,,312276,148465,359436,,,8,,AR,,,
40014,,312276,148465,359436,,,8,,AR,,,
10016,9/1/1996,19458354,19378860,40005441,,BB MS MARK DON 6329,8,,HH,,,
40015,9/1/1996,19458354,19378860,40005441,,BB MS MARK DON 6329,8,,HH,,,
10017,3/21/1997,17949501,18846366,40042479,,SR YAMPETTE 710,8,,HH,,,
40016,3/21/1997,17949501,18846366,40042479,,SR YAMPETTE 710,8,,HH,,,
10018,4/3/1997,17949501,19236634,40042525,,SR YAMPETTE 736,8,,HH,,,
40017,4/3/1997,17949501,19236634,40042525,,SR YAMPETTE 736,8,,HH,,,
10019,4/19/1997,19436462,19306127,40045544,,BB MS 4033 LAD 7223,8,,HH,,,
40018,4/19/1997,19436462,19306127,40045544,,BB MS 4033 LAD 7223,8,,HH,,,
10020,4/28/1997,19283697,19142515,40045567,,BB MS RED STAN,8,,HH,,,
40019,4/28/1997,19283697,19142515,40045567,,BB MS RED STAN,8,,HH,,,
10021,,185629,151595,405675,,,8,,AR,,,
40020,,185629,151595,405675,,,8,,AR,,,
10022,4/9/1998,19498500,19458797,41007692,,SR LADY DOM 8155,8,,HH,,,
40021,4/9/1998,19498500,19458797,41007692,,SR LADY DOM 8155,8,,HH,,,
10023,3/13/1998,19278446,19435984,41034505,,BB MS WASH 8045,8,,HH,,,
