chaps_id,birthdate,sire,dam,regnum,elecID,regname,sex,sex_date,breed,birth_weight,calving_ease,status,,,,,,
10000,,,,,,,,,,,,,,,,,,
10001,,UNKNAR,,148465,,,,,AR,,,,,,,,,
10002,,UNKNAR,,151595,,,,,AR,,,,,,,,,
10003,3/8/1992,19189990,19161582,19306637,,SR SANDI 272,,,HH,,,,,,,,,
10004,3/9/1993,19189990,19236483,19381981,,LS SANDI 372,,,HH,,,,,,,,,
10005,4/3/1993,19249880,18769107,19382093,,SR PREVA 343,,,HH,,,,,,,,,
10006,5/3/1995,19358298,19161667,19532315,,SR VENCI 5111,,,HH,,,,,,,,,
10007,3/19/1995,19292672,19306529,19532358,,SR BRIDGET 511,,,HH,,,,,,,,,
10008,8/25/1995,19151357,19319084,19555135,,BB MS PATRIOT 5332,,,HH,,,,,,,,,
10009,2/4/1996,19432948,19432956,19564652,,ORE 4040 MISS 6041,,,HH,,,,,,,,,
10010,,19396807,19285956,19570055,,,,,HH,,,,,,,,,
10011,4/1/1996,19436461,18959010,19583593,,SR MANDY 622,,,HH,,,,,,,,,
10012,4/2/1996,18869978,18958920,19583594,,SR BONITA 626,,,HH,,,,,,,,,
10013,3/25/1996,19436461,19236584,19583647,,SR MANDY 616,,,HH,,,,,,,,,
10014,,UNKNAR,,274459,,,,,AR,,,,,,,,,
10015,,312276,148465,359436,,,,,AR,,,,,,,,,
10016,9/1/1996,19458354,19378860,40005441,,BB MS MARK DON 6329,,,HH,,,,,,,,,
10017,3/21/1997,17949501,18846366,40042479,,SR YAMPETTE 710,,,HH,,,,,,,,,
10018,4/3/1997,17949501,19236634,40042525,,SR YAMPETTE 736,,,HH,,,,,,,,,
10019,4/19/1997,19436462,19306127,40045544,,BB MS 4033 LAD 7223,,,HH,,,,,,,,,
10020,4/28/1997,19283697,19142515,40045567,,BB MS RED STAN,,,HH,,,,,,,,,
10021,,185629,151595,405675,,,,,AR,,,,,,,,,
10022,4/9/1998,19498500,19458797,41007692,,SR LADY DOM 8155,,,HH,,,,,,,,,
10023,3/13/1998,19278446,19435984,41034505,,BB MS WASH 8045,,,HH,,,,,,,,,
10024,4/10/1998,19427728,19523897,41034704,,BB MS 4017 LAD 8160,,,HH,,,,,,,,,
10025,4/25/1998,40036740,19050987,41053020,,SR GOLDIE 851,,,HH,,,,,,,,,
10026,4/13/1998,40036740,19381968,41053182,,DS GOLDIE 843,,,HH,,,,,,,,,
10027,3/26/1998,40036739,19532301,41053189,,SR WESTY 813,,,HH,,,,,,,,,
10028,3/13/1999,19408550,40042479,41131050,,SR MARVEL 978,,,HH,,,,,,,,,
10029,3/12/2000,41003694,40042587,42078300,,SR LORI 016,,,HH,,,,,,,,,
10030,1/9/1999,C2650999,C2621497,42167185,,LCI STANDARD LADY 101J,,,HH,,,,,,,,,
10031,,,,,,,,,,,,,,,,,,
10032,,,,,,,,,,,,,,,,,,
10033,,,,,,,,,,,,,,,,,,
10034,,,,,,,,,,,,,,,,,,
10035,,,,,,,,,,,,,,,,,,
10036,,,,,,,,,,,,,,,,,,
10037,,,,,,,,,,,,,,,,,,
10038,,,,,,,,,,,,,,,,,,
10039,,,,,,,,,,,,,,,,,,
10040,,,,,,,,,,,,,,,,,,
10041,,,,,,,,,,,,,,,,,,
10042,,,,,,,,,,,,,,,,,,
10043,,,,,,,,,,,,,,,,,,
10044,,RITO9J9,,10895323,,9J9 G A R 856,,,AN,,,,,,,,,
10045,,HP68,,,,,,,HPHP,,,,,,,,,
10046,,HP68,,,,,,,HPHP,,,,,,,,,
10047,,HP68,,,,,,,HP,,,,,,,,,
10048,,HP68,,,,,,,HPHP,,,,,,,,,
10049,,HP68,,,,,,,HPHP,,,,,,,,,
10050,,HP68,,,,,,,HPHP,,,,,,,,,
10051,,HX17,,,,,,,HPHP,,,,,,,,,
10052,,HX17,,,,,,,HPHP,,,,,,,,,
10053,1/1/1991,UnknAN,Y9X01,,,,,,ANMX,,,,,,,,,
10054,,ANGS,,,,,,,ANAN,,,,,,,,,
10055,1/1/1991,UnknAN,Y9X05,,,,,,ANMX,,,,,,,,,
10056,1/1/1991,UnknAN,Y9X07,,,,,,ANMX,,,,,,,,,
10057,,ANGS,,,,,,,ANAN,,,,,,,,,
10058,,AN95,,,,,,,ANHH,,,,,,,,,
10059,,ANGS,,,,,,,ANAN,,,,,,,,,
10060,1/1/1991,Unknown,S4556,,,,,,ANHH,,,,,,,,,
10061,1/1/1991,UnknAN,T5X31,,,,,,ANHH,,,,,,,,,
10062,,AN95,,,,,,,ANHH,,,,,,,,,
10063,1/1/1991,UnknAN,T5X44,,,,,,ANHH,,,,,,,,,
10064,1/1/1991,UnknAN,Y9X20,,,,,,ANHH,,,,,,,,,
10065,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10066,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10067,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10068,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10069,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10070,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10071,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10072,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10073,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10074,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10075,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10076,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10077,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10078,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10079,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10080,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10081,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10082,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10083,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10084,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10085,1/1/1991,Unknown,,,,,,,ANGV,,,,,,,,,
10086,1/1/1991,Unknown,,,,,,,ANGV,,,,,,,,,
10087,1/1/1991,Unknown,,,,,,,ANGV,,,,,,,,,
10088,1/1/1991,Unknown,,,,,,,ANGV,,,,,,,,,
10089,,,,,,,,,HPMX,,,,,,,,,
10090,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10091,,,,,,,,,ANHH,,,,,,,,,
10092,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10093,,,,,,,,,ANHH,,,,,,,,,
10094,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10095,,,,,,,,,ANHH,,,,,,,,,
10096,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10097,,,,,,,,,ANHH,,,,,,,,,
10098,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10099,,,,,,,,,ANHH,,,,,,,,,
10100,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10101,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10102,,,,,,,,,ANHH,,,,,,,,,
10103,,,,,,,,,ANHH,,,,,,,,,
10104,,,,,,,,,ANHH,,,,,,,,,
10105,,,,,,,,,ANHH,,,,,,,,,
10106,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10107,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10108,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10109,,,,,,,,,ANHH,,,,,,,,,
10110,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10111,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10112,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10113,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10114,,,,,,,,,ANHH,,,,,,,,,
10115,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10116,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10117,,,,,,,,,ANHH,,,,,,,,,
10118,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10119,,,,,,,,,ANHH,,,,,,,,,
10120,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10121,,,,,,,,,ANHH,,,,,,,,,
10122,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10123,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10124,,,,,,,,,,,,,,,,,,
10125,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10126,,,,,,,,,ANHH,,,,,,,,,
10127,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10128,,,,,,,,,ANHH,,,,,,,,,
10129,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10130,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10131,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10132,,,,,,,,,ANHH,,,,,,,,,
10133,1/1/1991,Unknown,,,,,,,ANHH,,,,,,,,,
10134,1/1/1991,UnknAN,,,,,,,ANHH,,,,,,,,,
10135,,,,,,,,,ANHH,,,,,,,,,
10136,,,,,,,,,ANHH,,,,,,,,,
10137,,,,,,,,,ANHH,,,,,,,,,
10138,,,,,,,,,ANHH,,,,,,,,,
10139,,,,,,,,,ANHH,,,,,,,,,
10140,,,,,,,,,ANHH,,,,,,,,,
10141,,,,,,,,,ANHH,,,,,,,,,
10142,,,,,,,,,ANHH,,,,,,,,,
10143,,,,,,,,,ANHH,,,,,,,,,
10144,,,,,,,,,ANHH,,,,,,,,,
10145,,,,,,,,,ANHH,,,,,,,,,
10146,,,,,,,,,ANHH,,,,,,,,,
10147,,,,,,,,,ANHH,,,,,,,,,
10148,,,,,,,,,ANHH,,,,,,,,,
10149,,,,,,,,,ANHH,,,,,,,,,
10150,,,,,,,,,ANHH,,,,,,,,,
10151,,,,,,,,,ANHH,,,,,,,,,
10152,,,,,,,,,ANHH,,,,,,,,,
10153,,,,,,,,,ANHH,,,,,,,,,
10154,,,,,,,,,ANHH,,,,,,,,,
10155,,,,,,,,,ANHH,,,,,,,,,
10156,,,,,,,,,ANHH,,,,,,,,,
10157,,,,,,,,,ANHH,,,,,,,,,
10158,,,,,,,,,ANHH,,,,,,,,,
10159,,,,,,,,,ANHH,,,,,,,,,
10160,,,,,,,,,ANHH,,,,,,,,,
10161,,,,,,,,,ANHH,,,,,,,,,
10162,,,,,,,,,ANHH,,,,,,,,,
10163,,,,,,,,,ANHH,,,,,,,,,
10164,,,,,,,,,ANHH,,,,,,,,,
10165,,,,,,,,,ANHH,,,,,,,,,
10166,,,,,,,,,ANHH,,,,,,,,,
10167,,,,,,,,,ANHH,,,,,,,,,
10168,,,,,,,,,ANHH,,,,,,,,,
10169,,,,,,,,,ANHH,,,,,,,,,
10170,,,,,,,,,ANHH,,,,,,,,,
10171,,,,,,,,,ANHH,,,,,,,,,
10172,,,,,,,,,ANHH,,,,,,,,,
10173,,,,,,,,,ANHH,,,,,,,,,
10174,,,,,,,,,ANHH,,,,,,,,,
10175,,,,,,,,,ANHH,,,,,,,,,
10176,,,,,,,,,ANHH,,,,,,,,,
10177,,,,,,,,,ANHH,,,,,,,,,
10178,,,,,,,,,ANHH,,,,,,,,,
10179,,,,,,,,,ANHH,,,,,,,,,
10180,1/1/1992,UnknAN,Z00X6,,,,,,ANHH,,,,,,,,,
10181,,,,,,,,,,,,,,,,,,
10182,1/1/1992,UnknAN,Z0X23,,,,,,ANHH,,,,,,,,,
10183,1/1/1992,Unknown,L0915,,,,,,ANHH,,,,,,,,,
10184,1/1/1992,Unknown,P2036,,,,,,ANHH,,,,,,,,,
10185,,,,,,,,,,,,,,,,,,
10186,,,,,,,,,,,,,,,,,,
10187,,,,,,,,,,,,,,,,,,
10188,1/1/1992,Unknown,T5X44,,,,,,ANHH,,,,,,,,,
10189,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10190,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10191,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10192,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10193,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10194,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10195,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10196,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10197,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10198,1/1/1992,Unknown,,,,,,,ANGV,,,,,,,,,
10199,4/4/1978,PBC373D0,,100626,,,,,AR,,,,,,,,,
10200,,PBC373,,87349,,,,,AR,,,,,,,,,
10201,4/16/1981,BFLOCRVC,BFLOCAR,130370,,,,,AR,,,,,,,,,
10202,,QAS234,,11246381,,B F TRAVELER 7112 9118,,,AN,,,,,,,,,
10203,,BR545,,11264984,,B/R ELINE 972,,,AN,,,,,,,,,
10204,,HIGHTIME,,09890479,,BASIN ENCHANTRESS 1051,,,AN,,,,,,,,,
10205,5/6/1982,RCNDY606,BFCR127,140489,,,,,AR,,,,,,,,,
10206,,,,,,,,,,,,,,,,,,
10207,1/1/1993,UnknLM,AB276,,,,,,LMAH,,,,,,,,,
10208,,,,,,,,,,,,,,,,,,
10209,,,,,,,,,,,,,,,,,,
10210,,,,,,,,,,,,,,,,,,
10211,,,,,,,,,,,,,,,,,,
10212,,,,,,,,,,,,,,,,,,
10213,,,,,,,,,,,,,,,,,,
10214,,,,,,,,,,,,,,,,,,
10215,,MS38,N1085,,,,,,,,,,,,,,,
10216,1/1/1993,UnknAN,A1X80,,,,,,ANHH,,,,,,,,,
10217,1/1/1993,UnknLM,AB559,,,,,,LMAH,,,,,,,,,
10218,,,,,,,,,,,,,,,,,,
10219,,,,,,,,,,,,,,,,,,
10220,1/1/1993,Unknown,A1X86,,,,,,ANHH,,,,,,,,,
10221,,,,,,,,,,,,,,,,,,
10222,,,,,,,,,,,,,,,,,,
10223,1/1/1993,UnknAN,A1X83,,,,,,ANHH,,,,,,,,,
10224,1/1/1993,UnknAN,A1X57,,,,,,ANHH,,,,,,,,,
10225,1/1/1993,Unknown,A1X75,,,,,,ANHH,,,,,,,,,
10226,,,,,,,,,,,,,,,,,,
10227,1/1/1993,Unknown,A1018,,,,,,ANHH,,,,,,,,,
10228,,AN74,A1001,,,,,,,,,,,,,,,
10229,,,,,,,,,,,,,,,,,,
10230,,,,,,,,,,,,,,,,,,
10231,,,,,,,,,,,,,,,,,,
10232,,AN20,A1X78,,,,,,,,,,,,,,,
10233,1/1/1993,UnknAN,A1X95,,,,,,ANHH,,,,,,,,,
10234,1/1/1993,UnknAN,S4539,,,,,,ANHH,,,,,,,,,
10235,,AN20,A1X50,,,,,,,,,,,,,,,
10236,1/1/1993,Unknown,S4556,,,,,,ANHH,,,,,,,,,
10237,1/1/1993,UnknAN,A1X62,,,,,,ANHH,,,,,,,,,
10238,,,,,,,,,,,,,,,,,,
10239,1/1/1993,UnknAN,S4023,,,,,,ANHH,,,,,,,,,
10240,1/1/1993,Unknown,S4514,,,,,,ANHH,,,,,,,,,
10241,1/1/1993,Unknown,A1006,,,,,,ANHH,,,,,,,,,
10242,,,,,,,,,,,,,,,,,,
