chaps_id,birthdate,sire,dam,regnum,elecID,regname,sex,sex_date,breed
40000,,UNKNAR,,148465,,,,,AR
40001,,UNKNAR,,151595,,,,,AR
40002,3/8/1992,19189990,19161582,19306637,,SR SANDI 272,,,HH
40003,3/9/1993,19189990,19236483,19381981,,LS SANDI 372,,,HH
40004,4/3/1993,19249880,18769107,19382093,,SR PREVA 343,,,HH
40005,5/3/1995,19358298,19161667,19532315,,SR VENCI 5111,,,HH
40006,3/19/1995,19292672,19306529,19532358,,SR BRIDGET 511,,,HH
40007,8/25/1995,19151357,19319084,19555135,,BB MS PATRIOT 5332,,,HH
40008,2/4/1996,19432948,19432956,19564652,,ORE 4040 MISS 6041,,,HH
40009,,19396807,19285956,19570055,,,,,HH
40010,4/1/1996,19436461,18959010,19583593,,SR MANDY 622,,,HH
40011,4/2/1996,18869978,18958920,19583594,,SR BONITA 626,,,HH
40012,3/25/1996,19436461,19236584,19583647,,SR MANDY 616,,,HH
40013,,UNKNAR,,274459,,,,,AR
40014,,312276,148465,359436,,,,,AR
40015,9/1/1996,19458354,19378860,40005441,,BB MS MARK DON 6329,,,HH
40016,3/21/1997,17949501,18846366,40042479,,SR YAMPETTE 710,,,HH
40017,4/3/1997,17949501,19236634,40042525,,SR YAMPETTE 736,,,HH
40018,4/19/1997,19436462,19306127,40045544,,BB MS 4033 LAD 7223,,,HH
40019,4/28/1997,19283697,19142515,40045567,,BB MS RED STAN,,,HH
40020,,185629,151595,405675,,,,,AR
40021,4/9/1998,19498500,19458797,41007692,,SR LADY DOM 8155,,,HH
40022,3/13/1998,19278446,19435984,41034505,,BB MS WASH 8045,,,HH
40023,4/10/1998,19427728,19523897,41034704,,BB MS 4017 LAD 8160,,,HH
40024,4/25/1998,40036740,19050987,41053020,,SR GOLDIE 851,,,HH
40025,4/13/1998,40036740,19381968,41053182,,DS GOLDIE 843,,,HH
40026,3/26/1998,40036739,19532301,41053189,,SR WESTY 813,,,HH
40027,3/13/1999,19408550,40042479,41131050,,SR MARVEL 978,,,HH
40028,3/12/2000,41003694,40042587,42078300,,SR LORI 016,,,HH
40029,1/9/1999,C2650999,C2621497,42167185,,LCI STANDARD LADY 101J,,,HH
40030,,RITO9J9,,10895323,,9J9 G A R 856,,,AN
40031,4/4/1978,PBC373D0,,100626,,,,,AR
40032,,PBC373,,87349,,,,,AR
40033,4/16/1981,BFLOCRVC,BFLOCAR,130370,,,,,AR
40034,,QAS234,,11246381,,B F TRAVELER 7112 9118,,,AN
40035,,BR545,,11264984,,B/R ELINE 972,,,AN
40036,,HIGHTIME,,09890479,,BASIN ENCHANTRESS 1051,,,AN
40037,5/6/1982,RCNDY606,BFCR127,140489,,,,,AR
40038,5/6/1962,REDCOPPR,,9319,,,,,AR
40039,,LEACHMNA,,,,,,,
40040,,BLKVBB,,,,,,,
40041,11/4/1961,BBASCOMR,,4396,,,,,AR
40042,2/15/1993,LEACHEVN,,404379,,,,,AR
40043,2/12/1995,LRH1174B,,475841,,,,,AR
40044,4/18/1976,THUNDERB,,77420,,,,,AR
40045,4/20/1985,LCHMR012,LCDU163,183245,,,,,AR
40046,1/10/1988,JTL90KK,PRFELEN,303922,,,,,AR
40047,,JHLAR,,,,,,,
40048,,KADENCE,,10973044,,LANDMARCK GAY LADY 774,,,AN
40049,,PD6106,,11291067,,M D G ELONEMAR 9144,,,AN
40050,3/7/1972,RLGALENA,,49527,,,,,AR
40051,2/23/1971,MADCP605,MDSTRM,41713,,,,,AR
40052,3/26/1968,STORMALG,,23376,,,,,AR
40053,4/1/1991,BUFCRK14,MRM8454,356162,,,,,AR
40054,,MRMPRIME,,268297,,,,,AR
40055,3/1/2003,UNKNLO,L1064,,982000007623383,,,,LOHHAN
40056,3/6/2003,UNKNLO,L1186,,949000000192107,,,,LOARHHAR
40057,4/9/2003,UNKNLO,L1109,,982000007549609,,,,LOANARHH
40058,3/16/2004,UNKNLO,M2154,,982000007489354,,,,LOHHAN
40059,3/19/2004,UNKNLO,M2346,,982000007579245,,,,LOANGV
40060,3/20/2004,UNKNLO,M2051,,982000007563277,,,,LOANANHH
40061,3/20/2004,UNKNLO,M2023,,982000007623109,,,,LOAN
