chaps_id,birthdate,sire,dam,,regnum,regname,elecID,sex,sex_date,breed,birth_weight,status,,,,,,
15000,,,,,,,,,,CH,,,,,,,,
15001,3/3/2000,M0001,F0014,,,,949000000141143,,,LO,,,,,,,,
15002,2/5/2000,M0001,FF16,,,,949000000144192,,,LO,,,,,,,,
15003,2/11/2000,M0001,FF16,,,,949000000026188,,,LO,,,,,,,,
15004,3/14/2002,U280,P096,,,,,,,LO,,,,,,,,
15005,2/15/2010,2353900,2289288,,2570119,,949000000008108,,,SM,,,,,,,,
15006,,566481,405675,,788190,,,,,AR,,,,,,,,
15007,1/1/2010,,x4101844,,,,949000000248909,,,SH,,,,,,,,
15008,2/7/1989,BANDO155,LGL774,,11270134,LANDMARK BANDO 912,,,,AN,,,,,,,,
15009,2/1/1990,HERO6267,PA8810,,11451945,PAPA 8810 R R HERO 0915,,,,AN,,,,,,,,
15010,3/23/1983,EMUL8520,BS1051,,10312571,BASIN EMULATION 5653,,,,AN,,,,,,,,
15011,12/31/1990,RAIN340,BFT7112,,11569005,B F RAINMAN 9118 117,,,,AN,,,,,,,,
15012,2/11/1991,CH6011A,MD9114,,11621009,M D G CHAIRMAN 1041,,,,AN,,,,,,,,
15013,9/6/1990,BANDO155,9J9GAR,,11520398,G A R PRECISION,,,,AN,,,,,,,,
15014,4/5/1990,IMPACT,PP338,,11402007,IRONWOOD IMPACT PP 022,,,,AN,,,,,,,,
15015,3/31/1992,11297283,11275016,,11783725,,,,,AN,,,,,,,,
15016,2/13/1988,QAS234,SUM044,,11121512,SUMMITCREST TRAVELER X044,,,,AN,,,,,,,,
15017,1/24/1999,11783725,12933972,,13384754,,,,,AN,,,,,,,,
15018,,,,,,,,,,CH,,,,,,,,
15019,,,,,,,,,,AR,,,,,,,,
15020,,,,,326175,,,,,AR,,,,,,,,
15021,,,,,,,,,,AN,,,,,,,,
15022,,,,,,,,,,HH,,,,,,,,
15023,,,,,,,,,,AN,,,,,,,,
15024,,,,,,,,,,AR,,,,,,,,
15025,,,,,,,,,,HH,,,,,,,,
15026,5/17/1987,18682140,18508765,,18869978,BB L1 DOM 7462,,,,HH,,,,,,,,
15027,,,,,,,,,,HH,,,,,,,,
15028,,,,,,,,,,HH,,,,,,,,
15029,4/9/1990,18682140,18650505,,19151357,BB PATRIOT 0293,,,,HH,,,,,,,,
15030,3/8/1989,21839670,42056561,,19189990,96 SANDMAN 55Y,,,,HH,,,,,,,,
15031,9/6/2010,x4161515,x4095135,,x4179087,,982000128138397,,,SH,,,,,,,,
15032,4/24/1991,18833614,18972877,,19249880,B&S PREVAIL BC 1042,,,,HH,,,,,,,,
15033,,,,,19278446,BB WASHINGTON 2041,,,,HH,,,,,,,,
15034,8/5/1991,18979369,18679187,,19283697,BB RED STAN 1476 1ET,,,,HH,,,,,,,,
15035,1/31/1992,19107241,18704719,,19292672,CTY BRIGADER 22B,,,,HH,,,,,,,,
15036,,,,,,,,,,HH,,,,,,,,
15037,4/3/1993,19093487,19201999,,19358298,F MASTER 369 1ET,,,,HH,,,,,,,,
15038,,,,,,,,,,HH,,,,,,,,
15039,,,,,19396807,JA LI DOMINO 3565,,,,HH,,,,,,,,
15040,,,,,,,,,,HH,,,,,,,,
15041,1/25/1994,19395148,18090899,,19427728,BB COM STD  4017 1ET,,,,HH,,,,,,,,
15042,2/16/1994,18132819,18511517,,19432948,ORE 75B 4040 1ET,,,,HH,,,,,,,,
15043,2/8/1994,19395148,18786314,,19436461,BB 7Z STD LAD 4032,,,,HH,,,,,,,,
15044,2/8/1994,19395148,19061693,,19436462,BB 7Z STD LAD 4033,,,,HH,,,,,,,,
15045,4/13/1994,19021767,19223864,,19458354,BB MARK DONALD 4209,,,,HH,,,,,,,,
15046,,,,,,,,,,HH,,,,,,,,
15047,,,,,,,,,,HH,,,,,,,,
15048,2/18/1995,19302922,18923705,,19498500,ANK BB DOM 5036 1ET,,,,HH,,,,,,,,
15049,1/19/1996,19348992,19432792,,19563937,CHURCHILL PATROL 630,,,,HH,,,,,,,,
15050,9/9/1996,19408550,19408065,,19599204,AY MARK DOMINO 7926,,,,HH,,,,,,,,
15051,2/25/1996,11569005,12130258,,12564177,,,,,AN,,,,,,,,
15052,9/10/2010,x4161515,x4095132,,x4179085,,,,,SH,,,,,,,,
15053,1/1/2011,,19Y7,,,,,,,SM,,,,,,,,
15054,,,,,,,,,,AN,,,,,,,,
15055,2/8/1998,12452829,12559297,,13009379,,,,,AN,,,,,,,,
15056,2/8/2010,13512009,13780525,,17119109,,949000000249804,,,AN,,,,,,,,
15057,,,,,,,,,,AN,,,,,,,,
15058,8/14/1995,10776479,11647241,,12548568,,,,,AN,,,,,,,,
15059,,,,,,,,,,HP,,,,,,,,
15060,,,,,,,,,,CH,,,,,,,,
15061,,,,,,,,,,SM,,,,,,,,
15062,,,,,,,,,,,,,,,,,,
15063,,,,,,,,,,,,,,,,,,
15064,,,,,,,,,,,,,,,,,,
15065,,,,,,,,,,,,,,,,,,
15066,,,,,,,,,,AN,,,,,,,,
15067,,,,,,,,,,AN,,,,,,,,
15068,,,,,,,,,,GV,,,,,,,,
15069,,,,,,,,,,GV,,,,,,,,
15070,,,,,,,,,,AN,,,,,,,,
15071,,,,,2584005,BP SANDMAN 146D,,,,HH,,,,,,,,
15072,1/1/2011,,52S1,,17119121,,,,,AN,,,,,,,,
15073,,,,,,,,,,AR,,,,,,,,
15074,,,,,,,,,,AN,,,,,,,,
15075,,,,,,,,,,AN,,,,,,,,
15076,,,,,,,,,,AN,,,,,,,,
