chaps_id,birthdate,sire,dam,regnum,elecID,regname,sex,sex_date,breed,birth_weight,calving_ease,state
60000,,,,,,,,,CH,,,
60001,3/3/2000,M0001,F0014,,949000000141143,,,,LO,,,
60002,2/5/2000,M0001,FF16,,949000000144192,,,,LO,,,
60003,2/11/2000,M0001,FF16,,949000000026188,,,,LO,,,
60004,3/14/2002,U280,P096,,,,,,LO,,,
60005,2/15/2010,2353900,2289288,2570119,949000000008108,,,,SM,,,
60006,,566481,405675,788190,,,,,AR,,,
60007,1/1/2010,,x4101844,,949000000248909,,,,SH,,,
60008,2/7/1989,BANDO155,LGL774,11270134,,LANDMARK BANDO 912,,,AN,,,
60009,2/1/1990,HERO6267,PA8810,11451945,,PAPA 8810 R R HERO 0915,,,AN,,,
60010,3/23/1983,EMUL8520,BS1051,10312571,,BASIN EMULATION 5653,,,AN,,,
60011,12/31/1990,RAIN340,BFT7112,11569005,,B F RAINMAN 9118 117,,,AN,,,
60012,2/11/1991,CH6011A,MD9114,11621009,,M D G CHAIRMAN 1041,,,AN,,,
60013,9/6/1990,BANDO155,9J9GAR,11520398,,G A R PRECISION,,,AN,,,
60014,4/5/1990,IMPACT,PP338,11402007,,IRONWOOD IMPACT PP 022,,,AN,,,
60015,3/31/1992,11297283,11275016,11783725,,,,,AN,,,
60016,2/13/1988,QAS234,SUM044,11121512,,SUMMITCREST TRAVELER X044,,,AN,,,
60017,1/24/1999,11783725,12933972,13384754,,,,,AN,,,
60018,,,,,,,,,CH,,,
60019,,,,,,,,,AR,,,
60020,,,,326175,,,,,AR,,,
60021,,,,,,,,,AN,,,
60022,,,,,,,,,HH,,,
60023,,,,,,,,,AN,,,
60024,,,,,,,,,AR,,,
60025,,,,,,,,,HH,,,
60026,5/17/1987,18682140,18508765,18869978,,BB L1 DOM 7462,,,HH,,,
60027,,,,,,,,,HH,,,
60028,,,,,,,,,HH,,,
60029,4/9/1990,18682140,18650505,19151357,,BB PATRIOT 0293,,,HH,,,
60030,3/8/1989,21839670,42056561,19189990,,96 SANDMAN 55Y,,,HH,,,
60031,9/6/2010,x4161515,x4095135,x4179087,982000128138397,,,,SH,,,
60032,4/24/1991,18833614,18972877,19249880,,B&S PREVAIL BC 1042,,,HH,,,
60033,,,,19278446,,BB WASHINGTON 2041,,,HH,,,
60034,8/5/1991,18979369,18679187,19283697,,BB RED STAN 1476 1ET,,,HH,,,
60035,1/31/1992,19107241,18704719,19292672,,CTY BRIGADER 22B,,,HH,,,
60036,,,,,,,,,HH,,,
60037,4/3/1993,19093487,19201999,19358298,,F MASTER 369 1ET,,,HH,,,
60038,,,,,,,,,HH,,,
60039,,,,19396807,,JA LI DOMINO 3565,,,HH,,,
60040,,,,,,,,,HH,,,
60041,1/25/1994,19395148,18090899,19427728,,BB COM STD  4017 1ET,,,HH,,,
60042,2/16/1994,18132819,18511517,19432948,,ORE 75B 4040 1ET,,,HH,,,
60043,2/8/1994,19395148,18786314,19436461,,BB 7Z STD LAD 4032,,,HH,,,
60044,2/8/1994,19395148,19061693,19436462,,BB 7Z STD LAD 4033,,,HH,,,
60045,4/13/1994,19021767,19223864,19458354,,BB MARK DONALD 4209,,,HH,,,
60046,,,,,,,,,HH,,,
60047,,,,,,,,,HH,,,
60048,2/18/1995,19302922,18923705,19498500,,ANK BB DOM 5036 1ET,,,HH,,,
60049,1/19/1996,19348992,19432792,19563937,,CHURCHILL PATROL 630,,,HH,,,
60050,9/9/1996,19408550,19408065,19599204,,AY MARK DOMINO 7926,,,HH,,,
60051,2/25/1996,11569005,12130258,12564177,,,,,AN,,,
60052,9/10/2010,x4161515,x4095132,x4179085,,,,,SH,,,
60053,1/1/2011,,19Y7,,,,,,SM,,,
60054,,,,,,,,,AN,,,
60055,2/8/1998,12452829,12559297,13009379,,,,,AN,,,
60056,2/8/2010,13512009,13780525,17119109,949000000249804,,,,AN,,,
60057,,,,,,,,,AN,,,
60058,8/14/1995,10776479,11647241,12548568,,,,,AN,,,
60059,,,,,,,,,HP,,,
60060,,,,,,,,,CH,,,
60061,,,,,,,,,SM,,,
60062,,,,,,,,,,,,
60063,,,,,,,,,,,,
60064,,,,,,,,,,,,
60065,,,,,,,,,,,,
60066,,,,,,,,,AN,,,
60067,,,,,,,,,AN,,,
60068,,,,,,,,,GV,,,
60069,,,,,,,,,GV,,,
60070,,,,,,,,,AN,,,
60071,,,,2584005,,BP SANDMAN 146D,,,HH,,,
60072,1/1/2011,,52S1,17119121,,,,,AN,,,
60073,,,,,,,,,AR,,,
60074,,,,,,,,,AN,,,
60075,,,,,,,,,AN,,,
60076,,,,,,,,,AN,,,
60077,2/13/2003,GG B571,2254,,,,,,AR,,,
60078,5/1/2004,FM1909,FF123,FM3991,,,,,LO,,,
60079,1/1/2010,,x4121225,,949000000040961,,,,SH,,,
