Calf_ID,Birth_Date,Birth_Weight,Calving_Ease,Act_Wean_Weight,Age_In_Days,Adj_205_Wt,Adj_205_wt_ratio,MGT,Frame_Score,ADG,WDA,Cow_ID,Cow_Breed,Cow_Age,Sire_ID,Sire_Breed
283,2014-04-30,85,1,516,197,533.5025380710659,91.07685667723743,0,5.3,2.2,2.6,10059,LOANGV,10,20473,AR
286,2014-05-04,81,1,610,193,642.8911917098445,109.75113471459497,0,5.3,2.7,3.2,10134,LOARANHH,6,20425,AR
287,2014-05-05,66,1,548,192,580.6354166666666,99.12314347496836,0,4.4,2.5,2.9,402,ARLOANAN,6,20437,AR
292,2014-05-07,62,1,416,190,503.3157894736842,85.9235275375187,0,2.7,1.9,2.2,10221,LOSHAN,2,20430,LO
293,2014-05-07,76,1,586,190,665.8684210526316,113.67369116813946,0,4.4,2.7,3.1,10197,LOARAN,3,20429,LM
298,2014-05-10,76,1,558,187,604.3957219251337,103.1793826907311,0,4.5,2.6,3.0,414,LOLOHHAN,6,20437,AR
299,2014-05-10,93,1,0,68,-187.36764705882354,-31.986457644283096,D,0,0.0,0.0,10129,LOARANHH,6,20437,AR
300,2014-05-10,75,1,552,187,597.9144385026738,102.07293074490494,0,4.7,2.6,3.0,10102,LOANHH,8,20437,AR
302,2014-05-11,74,1,538,186,624.8870967741935,106.67756663001495,0,4.5,2.5,2.9,10214,LO,3,20429,LM
303,2014-05-11,89,1,487,186,547.4516129032259,93.45817222610452,0,4.5,2.1,2.6,10192,LOANAN,4,20473,AR
304,2014-05-12,70,1,480,185,524.3243243243244,89.50999841825445,0,3.3,2.2,2.6,10115,LOANHH,8,20437,AR
307,2014-05-12,96,1,512,185,596.4324324324325,101.81993015948656,0,4.8,2.2,2.8,10213,LO,3,20429,LM
308,2014-05-13,65,1,416,184,515.1467391304348,87.9432474626373,0,3.3,1.9,2.3,10222,LOARGV,2,20430,LO
309,2014-05-13,72,1,487,184,534.3641304347826,91.22394337059816,0,4.3,2.3,2.6,373,LOLOHHAN,8,20437,AR
310,2014-05-14,85,1,492,183,580.327868852459,99.07064046664668,0,4.3,2.2,2.7,10216,LO,3,20429,LM
311,2014-05-14,82,1,546,183,601.7814207650274,102.73308241082799,0,4.8,2.5,3.0,456,ANLOHH,5,20429,LM
313,2014-05-15,89,1,516,182,569.9615384615386,97.30095293958004,0,4.6,2.3,2.8,10088,LOAN,8,20447,AR
316,2014-05-16,75,1,483,181,556.8342541436464,95.05992931351672,0,3.6,2.3,2.7,10180,LOANARAN,4,20437,AR
318,2014-05-17,74,1,469,180,563.1666666666666,96.14096677186791,0,3.6,2.2,2.6,10210,LO,3,20429,LM
319,2014-05-17,69,1,500,180,618.75,105.62987248906765,0,3.4,2.4,2.8,10217,LOANGV,2,20430,LO
322,2014-05-19,81,1,496,178,558.9494382022472,95.42102284466971,0,3.7,2.3,2.8,10111,LOAN,8,20447,AR
324,2014-05-20,95,1,574,177,649.7740112994351,110.92613488528377,0,5.2,2.7,3.2,10139,LOANHHAN,6,20437,AR
327,2014-05-22,66,1,437,175,500.6,85.45990168570064,0,4,2.1,2.5,424,ARLOANHH,6,20437,AR
330,2014-05-25,97,1,526,172,627.9244186046512,107.19608286057579,0,5,2.5,3.1,10196,LOANAN,4,20447,AR
332,2014-05-26,80,1,461,171,575.7602339181286,98.29087691805688,0,5.1,2.2,2.7,10209,LO,3,20429,LM
333,2014-05-27,82,1,393,170,476.61764705882354,81.36575561189979,0,3.8,1.8,2.3,10183,LOANMX,4,20447,AR
334,2014-05-28,114,1,636,169,747.1952662721893,127.5573991123496,0,4.6,3.1,3.8,10176,ARANANAN,5,20447,AR
335,2014-05-28,93,1,476,169,557.5857988165681,95.18822922134792,0,4.6,2.3,2.8,10118,LOANANHH,8,20437,AR
337,2014-05-28,82,1,546,169,664.4142011834319,113.42543410251582,0,4.4,2.7,3.2,10185,LOANSM,4,20437,AR
339,2014-05-28,91,1,520,169,611.3846153846154,104.37249125633066,0,4.8,2.5,3.1,10156,LOANHHAN,6,20447,AR
342,2014-05-31,80,1,458,166,546.8072289156626,93.34816624882727,0,4.4,2.3,2.8,10095,LOARHH,8,20437,AR
343,2014-06-01,75,1,492,165,631.8787878787879,107.87115279544727,0,4.2,2.5,3.0,10199,LOARHHAR,3,20429,LM
344,2014-06-01,85,1,493,165,591.9090909090909,101.04772815813693,0,4.4,2.5,3.0,10108,LOANHHAN,8,20447,AR
345,2014-06-03,83,1,446,163,578.2453987730062,98.71513170065896,0,4.5,2.2,2.7,10204,LOARANHH,3,20429,LM
346,2014-06-03,95,1,500,163,604.3558282208589,103.17257223918257,0,4.5,2.5,3.1,10119,LOANANAN,8,20447,AR
353,2014-06-11,90,1,462,155,582,99.35609824426244,0,4.4,2.4,3.0,10086,LOANANGV,8,20447,AR
354,2014-06-12,95,1,506,154,642.1103896103897,109.61784012678952,0,4.9,2.7,3.3,434,ARLOAN,6,20447,AR
355,2014-06-15,77,1,363,151,503.49006622516555,85.95327918363874,0,3,1.9,2.4,10203,LOARANHH,3,20425,AR
357,2014-06-16,63,1,0,128,17.2890625,2.951501361342257,D,-15.4,0.0,0.0,10219,LOSHAR,2,20430,LO
358,2014-06-16,97,1,510,150,661.4333333333334,112.91655541013172,0,5.5,2.8,3.4,471,ARLOANAN,5,20447,AR
359,2014-06-17,75,1,395,149,553.3892617449665,94.47181762414561,0,3.6,2.1,2.7,10205,LOARANHP,3,20425,AR
363,2014-05-25,99,1,0,0,NULL,NULL,C,0,0.0,0.0,10182,LOARHHHH,4,20447,AR
