chaps_id,birth_date,breed,reg_no,reg_name,elec_id,sire_id,dam_id,sex,sex_date,birth_weight,calving_ease,state,herd_id,cow_age
1,0000-00-00,AN,,,,20177,0,2,0000-00-00,53,0,,H38,2
2,0000-00-00,AN,,,,20177,0,2,0000-00-00,70,0,,H38,2
3,0000-00-00,CH,,,,20196,0,2,0000-00-00,102,0,,H38,8
4,0000-00-00,CH,,,,20196,0,2,0000-00-00,80,0,,H38,9
5,0000-00-00,CH,,,,20152,0,2,0000-00-00,84,0,,H38,8
6,0000-00-00,CH,,,,20201,0,2,0000-00-00,90,0,,H38,6
7,0000-00-00,CH,,,,20196,0,2,0000-00-00,110,0,,H38,6
8,0000-00-00,CH,,,,20204,0,2,0000-00-00,122,0,,H38,3
9,0000-00-00,CH,,,,20201,0,2,0000-00-00,82,0,,H38,7
10,0000-00-00,CH,,,,20196,0,2,0000-00-00,80,0,,H38,8
11,0000-00-00,CH,,,,20201,0,2,0000-00-00,104,0,,H38,8
12,0000-00-00,CH,,,,20201,0,2,0000-00-00,70,0,,H38,8
13,0000-00-00,CH,,,,20201,0,2,0000-00-00,90,0,,H38,7
14,0000-00-00,CH,,,,20196,0,2,0000-00-00,100,0,,H38,8
15,0000-00-00,CH,,,,20200,0,2,0000-00-00,96,0,,H38,3
16,0000-00-00,CH,,,,20200,0,2,0000-00-00,89,0,,H38,5
17,0000-00-00,CH,,,,20200,0,2,0000-00-00,68,0,,H38,6
18,0000-00-00,CH,,,,20150,0,2,0000-00-00,80,0,,H38,5
19,0000-00-00,CH,,,,20197,0,2,0000-00-00,76,0,,H38,11
20,0000-00-00,CH,,,,20150,0,2,0000-00-00,102,0,,H38,7
21,0000-00-00,CH,,,,20198,0,2,0000-00-00,100,0,,H38,5
22,0000-00-00,CH,,,,20201,0,2,0000-00-00,82,0,,H38,8
23,0000-00-00,CH,,,,20196,0,2,0000-00-00,100,0,,H38,8
24,0000-00-00,CH,,,,20201,0,2,0000-00-00,84,0,,H38,9
25,0000-00-00,CH,,,,20201,0,2,0000-00-00,57,0,,H38,6
26,0000-00-00,CH,,,,20150,0,2,0000-00-00,70,0,,H38,5
27,0000-00-00,CH,,,,20150,0,2,0000-00-00,97,0,,H38,6
28,0000-00-00,CH,,,,20150,0,2,0000-00-00,81,0,,H38,4
