chaps_id,birth_date,breed,reg_no,reg_name,elec_id,sire_id,dam_id,sex,sex_date,birth_weight,calving_ease,state,herd_id,cow_age
1,1990-03-06,AN,,,,20177,0,2,0000-00-00,0,0,"2",NULL,NULL
2,1990-03-12,AN,,,,20177,0,2,0000-00-00,0,0,"2",NULL,NULL
3,1990-03-15,CH,,,,20196,0,2,0000-00-00,0,0,"8",NULL,NULL
4,1990-03-15,CH,,,,20196,0,2,0000-00-00,0,0,"9",NULL,NULL
5,1990-03-17,CH,,,,20152,0,2,0000-00-00,0,0,"8",NULL,NULL
6,1990-03-18,CH,,,,20201,0,2,0000-00-00,0,0,"6",NULL,NULL
7,1990-03-18,CH,,,,20196,0,2,0000-00-00,0,0,"6",NULL,NULL
8,1990-03-18,CH,,,,20204,0,2,0000-00-00,0,0,"3",NULL,NULL
9,1990-03-20,CH,,,,20201,0,2,0000-00-00,0,0,"7",NULL,NULL
10,1990-03-21,CH,,,,20196,0,2,0000-00-00,0,0,"8",NULL,NULL
11,1990-03-23,CH,,,,20201,0,2,0000-00-00,0,0,"8",NULL,NULL
12,1990-03-26,CH,,,,20201,0,2,0000-00-00,0,0,"8",NULL,NULL
13,1990-03-27,CH,,,,20201,0,2,0000-00-00,0,0,"7",NULL,NULL
14,1990-03-28,CH,,,,20196,0,2,0000-00-00,0,0,"8",NULL,NULL
15,1990-03-30,CH,,,,20200,0,2,0000-00-00,0,0,"3",NULL,NULL
16,1990-03-31,CH,,,,20200,0,2,0000-00-00,0,0,"5",NULL,NULL
17,1990-04-02,CH,,,,20200,0,2,0000-00-00,0,0,"6",NULL,NULL
18,1990-04-06,CH,,,,20150,0,2,0000-00-00,0,0,"5",NULL,NULL
19,1990-04-08,CH,,,,20197,0,2,0000-00-00,0,0,11,NULL,NULL
20,1990-04-08,CH,,,,20150,0,2,0000-00-00,0,0,"7",NULL,NULL
21,1990-04-13,CH,,,,20198,0,2,0000-00-00,0,0,"5",NULL,NULL
22,1990-04-14,CH,,,,20201,0,2,0000-00-00,0,0,"8",NULL,NULL
23,1990-04-15,CH,,,,20196,0,2,0000-00-00,0,0,"8",NULL,NULL
24,1990-04-25,CH,,,,20201,0,2,0000-00-00,0,0,"9",NULL,NULL
25,1990-04-26,CH,,,,20201,0,2,0000-00-00,0,0,"6",NULL,NULL
26,1990-02-28,CH,,,,20150,0,2,0000-00-00,0,0,"5",NULL,NULL
27,1990-03-01,CH,,,,20150,0,2,0000-00-00,0,0,"6",NULL,NULL
28,1990-03-07,CH,,,,20150,0,2,0000-00-00,0,0,"4",NULL,NULL
29,1990-03-10,CH,,,,20196,0,2,0000-00-00,0,0,"5",NULL,NULL
