chaps_id,birth_date,breed,reg_no,reg_name,elec_id,sire_id,dam_id,sex,sex_date,birth_weight,calving_ease,state,herd_id,cow_age
1,1990-03-06,AN,,,,20177,0,2,0000-00-00,53,0,,H38,2
2,1990-03-12,AN,,,,20177,0,2,0000-00-00,70,0,,H38,2
3,1990-03-15,CH,,,,20196,0,2,0000-00-00,102,0,,H38,8
4,1990-03-15,CH,,,,20196,0,2,0000-00-00,80,0,,H38,9
5,1990-03-17,CH,,,,20152,0,2,0000-00-00,84,0,,H38,8
6,1990-03-18,CH,,,,20201,0,2,0000-00-00,90,0,,H38,6
7,1990-03-18,CH,,,,20196,0,2,0000-00-00,110,0,,H38,6
8,1990-03-18,CH,,,,20204,0,2,0000-00-00,122,0,,H38,3
9,1990-03-20,CH,,,,20201,0,2,0000-00-00,82,0,,H38,7
10,1990-03-21,CH,,,,20196,0,2,0000-00-00,80,0,,H38,8
11,1990-03-23,CH,,,,20201,0,2,0000-00-00,104,0,,H38,8
12,1990-03-26,CH,,,,20201,0,2,0000-00-00,70,0,,H38,8
13,1990-03-27,CH,,,,20201,0,2,0000-00-00,90,0,,H38,7
14,1990-03-28,CH,,,,20196,0,2,0000-00-00,100,0,,H38,8
15,1990-03-30,CH,,,,20200,0,2,0000-00-00,96,0,,H38,3
16,1990-03-31,CH,,,,20200,0,2,0000-00-00,89,0,,H38,5
17,1990-04-02,CH,,,,20200,0,2,0000-00-00,68,0,,H38,6
18,1990-04-06,CH,,,,20150,0,2,0000-00-00,80,0,,H38,5
19,1990-04-08,CH,,,,20197,0,2,0000-00-00,76,0,,H38,11
20,1990-04-08,CH,,,,20150,0,2,0000-00-00,102,0,,H38,7
21,1990-04-13,CH,,,,20198,0,2,0000-00-00,100,0,,H38,5
22,1990-04-14,CH,,,,20201,0,2,0000-00-00,82,0,,H38,8
23,1990-04-15,CH,,,,20196,0,2,0000-00-00,100,0,,H38,8
24,1990-04-25,CH,,,,20201,0,2,0000-00-00,84,0,,H38,9
25,1990-04-26,CH,,,,20201,0,2,0000-00-00,57,0,,H38,6
26,1990-02-28,CH,,,,20150,0,2,0000-00-00,70,0,,H38,5
27,1990-03-01,CH,,,,20150,0,2,0000-00-00,97,0,,H38,6
28,1990-03-07,CH,,,,20150,0,2,0000-00-00,81,0,,H38,4
29,1990-03-10,CH,,,,20196,0,2,0000-00-00,75,0,,H38,5
30,1990-03-10,CH,,,,20210,0,2,0000-00-00,85,0,,H38,7
31,1990-03-10,CH,,,,20210,0,2,0000-00-00,93,0,,H38,7
32,1990-03-10,CH,,,,20205,0,2,0000-00-00,78,0,,H38,6
33,1990-03-12,CH,,,,20205,0,2,0000-00-00,86,0,,H38,7
34,1990-03-12,CH,,,,20152,0,2,0000-00-00,75,0,,H38,9
35,1990-03-13,CH,,,,20198,0,2,0000-00-00,87,0,,H38,7
36,1990-03-13,CH,,,,20210,0,2,0000-00-00,97,0,,H38,6
37,1990-03-15,CH,,,,20204,0,2,0000-00-00,84,0,,H38,4
38,1990-03-14,CH,,,,20197,0,2,0000-00-00,80,0,,H38,4
