Cow_ID,Cow_Breed,No_Of_Calves,Avg_Adj_205_Wt,Avg_Birth_Wt,Avg_Calving_Ease,Avg_Act_Wean_Wt,sum_age_in_days,Avg_Age_In_Days,Avg_Frame_Score,Avg_ADG,Avg_WDA
10163,ANARHH,1,557.20000,84,1.0000,481,172,172.0000,4.800000190734863,2.30000,2.80000
463,ANLOANGV,1,859.30000,115,1.0000,754,176,176.0000,5.400000095367432,3.60000,4.30000
403,ARLOAN,4,553.25000,77.5,1.0000,476.5,687,171.7500,4.574999928474426,2.35000,2.77500
453,ARLOANAN,2,532.90000,67.5,1.0000,486.5,369,184.5000,4.450000047683716,2.30000,2.60000
472,ARLOANHH,3,554.16667,81.33333333333333,1.0000,505.3333333333333,552,184.0000,4.333333333333333,2.30000,2.73333
417,ARLOLOHH,2,547.90000,81.5,1.0000,498,360,180.0000,4.399999976158142,2.25000,2.70000
10212,LO,1,608.40000,80,1.0000,532,188,188.0000,4.300000190734863,2.40000,2.80000
10093,LOAN,1,517.30000,84,1.0000,475,185,185.0000,5,2.10000,2.60000
10188,LOANAN,7,528.21429,80.28571428571429,1.0000,451.7142857142857,1238,176.8571,4.199999979564121,2.11429,2.55714
10157,LOANANGV,1,666.90000,115,1.0000,570,169,169.0000,5.800000190734863,2.70000,3.40000
10096,LOANANHH,1,542.30000,80,1.0000,522,196,196.0000,3.9000000953674316,2.30000,2.70000
10202,LOANAR,1,658.70000,71,1.0000,508,162,162.0000,3.9000000953674316,2.70000,3.10000
10218,LOANARMX,0,NULL,NULL,1.0000,NULL,5,NULL,NULL,NULL,NULL
10200,LOANHH,1,438.30000,66,1.0000,315,151,151.0000,3.4000000953674316,1.60000,2.10000
10138,LOANHHAN,3,481.16667,72.66666666666667,1.0000,414.3333333333333,515,171.6667,3.866666634877523,2.00000,2.43333
10104,LOANHHAR,1,555.20000,83,1.0000,493,178,178.0000,4.199999809265137,2.30000,2.80000
10206,LOARAN,1,392.50000,57,1.0000,289,158,158.0000,0.6000000238418579,1.50000,1.80000
10181,LOARANAN,1,507.10000,75,1.0000,461,191,191.0000,3.700000047683716,2.00000,2.40000
10201,LOARANAR,1,572.70000,61,1.0000,438,162,162.0000,4.199999809265137,2.30000,2.70000
10198,LOARANHH,1,536.50000,65,1.0000,490,200,200.0000,3.799999952316284,2.10000,2.40000
10220,LOARGV,1,523.00000,60,1.0000,424,182,182.0000,3.5999999046325684,2.00000,2.30000
372,LOHHARHH,2,497.25000,68,1.0000,463.5,378,189.0000,3.399999976158142,2.10000,2.45000
375,LOLOANAR,1,529.30000,80,1.0000,457,172,172.0000,4.800000190734863,2.20000,2.70000
