Calf_ID,Birth_Date,Birth_weight,Calving_Ease,Act_Wean_Weight,Age_in_Days,adj_birth_wt,dam,Adj_205_Wt,Adj_205_wt_ratio,MGT,Frame_Score,ADG,WDA,Cow_ID,Cow_Breed,Cow_Age,Sire_ID,Sire_Breed,
281,2014-04-27,65,1,490,200,70,36,536.5,99,0,3.8,2.1,2.4,10198,LOARANHH,3,20429,LM,
282,2014-04-28,76,1,602,199,76,0,617.9,114,0,5.1,2.6,3,417,ARLOLOHH,6,20437,AR,
284,2014-05-01,80,1,522,196,80,0,542.3,100,0,3.9,2.3,2.7,10096,LOANANHH,8,20425,AR,
285,2014-05-01,78,1,500,196,80,18,537.3,99,0,5.6,2.2,2.6,10188,LOANAN,4,20473,AR,
288,2014-05-06,75,1,453,191,75,0,480.7,89,0,4.7,2,2.4,10138,LOANHHAN,6,20447,AR,465.9307692
289,2014-05-06,75,1,461,191,77,18,507.1,93,0,3.7,2,2.4,10181,LOARANAN,4,20437,AR,
290,2014-05-06,49,1,425,191,49,0,452.6,83,0,3,2,2.2,372,LOHHARHH,8,20437,AR,
291,2014-05-07,65,1,500,190,65,0,534.3,98,0,5,2.3,2.6,453,ARLOANAN,5,20437,AR,
294,2014-05-09,80,1,532,188,85,36,608.4,112,0,4.3,2.4,2.8,10212,LO,3,20429,LM,76.525
295,2014-05-09,55,1,0,5,63,54,-2466,-454,C,-15.7,0,0,10218,LOANARMX,2,20430,LO,
296,2014-05-09,75,1,502,188,75,0,540.6,100,0,4.3,2.3,2.7,472,ARLOANHH,5,20447,AR,
297,2014-05-09,74,1,496,188,74,0,534.2,98,0,4,2.2,2.6,466,ARLOANHH,5,20425,AR,
301,2014-05-10,87,1,502,187,87,0,541.9,100,0,3.8,2.2,2.7,420,LOHHARHH,6,20473,AR,
305,2014-05-12,60,1,397,185,62,18,451.2,83,0,2.1,1.8,2.1,10184,LOANAN,4,20437,AR,
306,2014-05-12,84,1,475,185,84,0,517.3,95,0,5,2.1,2.6,10093,LOAN,8,20473,AR,
312,2014-05-14,65,1,412,183,67,18,471.5,87,0,3.9,1.9,2.3,10187,LOANAN,4,20437,AR,
314,2014-05-15,85,1,550,182,87,18,626.5,115,0,4.8,2.6,3,10195,LOANAN,4,20447,AR,
315,2014-05-15,60,1,424,182,68,54,523,96,0,3.6,2,2.3,10220,LOARGV,2,20430,LO,
317,2014-05-16,65,1,423,181,65,0,470.5,87,0,2.9,2,2.3,10142,LOANHHAN,6,20437,AR,
320,2014-05-18,70,1,473,179,70,0,531.5,98,0,3.9,2.3,2.6,461,ARLOANAN,5,20437,AR,
321,2014-05-19,83,1,493,178,83,0,555.2,102,0,4.2,2.3,2.8,10104,LOANHHAR,8,20473,AR,
323,2014-05-20,85,1,538,177,85,0,609.7,112,0,5.2,2.6,3,403,ARLOAN,6,20447,AR,
325,2014-05-21,95,1,518,176,95,0,587.7,108,0,4.7,2.4,2.9,480,ARLOANHH,5,20447,AR,
326,2014-05-21,115,1,754,176,115,0,859.3,158,0,5.4,3.6,4.3,463,ANLOANGV,5,20429,LM,
328,2014-05-24,90,1,485,173,90,0,558.1,103,0,4.7,2.3,2.8,457,ARLOAN,5,20473,AR,
329,2014-05-25,80,1,457,172,80,0,529.3,97,0,4.8,2.2,2.7,375,LOLOANAR,8,20447,AR,
331,2014-05-25,84,1,481,172,84,0,557.2,103,0,4.8,2.3,2.8,10163,ANARHH,5,20473,AR,
336,2014-05-28,92,1,477,169,94,18,576.6,106,0,4.1,2.3,2.8,10186,LOANAN,4,20425,AR,
338,2014-05-28,115,1,570,169,115,0,666.9,123,0,5.8,2.7,3.4,10157,LOANANGV,6,20447,AR,
340,2014-05-28,67,1,432,169,67,0,509.8,94,0,4.1,2.2,2.6,448,ARLOAN,5,20447,AR,
341,2014-05-29,68,1,451,168,68,0,535.4,99,0,4.3,2.3,2.7,400,ARLOAN,6,20447,AR,
347,2014-06-04,71,1,508,162,76,36,658.7,121,0,3.9,2.7,3.1,10202,LOANAR,3,20429,LM,
348,2014-06-04,61,1,438,162,66,36,572.7,105,0,4.2,2.3,2.7,10201,LOARANAR,3,20429,LM,
349,2014-06-04,72,1,396,162,74,18,499.5,92,0,3.7,2,2.4,10194,LOANAN,4,20437,AR,
350,2014-06-05,110,1,430,161,112,18,534.9,98,0,5.2,2,2.7,10191,LOANAN,4,20447,AR,
351,2014-06-05,87,1,394,161,87,0,477.9,88,0,3.7,1.9,2.4,478,ARLOLOHH,5,20425,AR,
352,2014-06-08,57,1,289,158,62,36,392.5,72,0,0.6,1.5,1.8,10206,LOARAN,3,20429,LM,
356,2014-06-15,66,1,315,151,71,36,438.3,81,0,3.4,1.6,2.1,10200,LOANHH,3,20425,AR,
360,2014-06-23,78,1,367,143,78,0,492.3,91,0,4,2,2.6,10103,LOANHHAN,8,20447,AR,
362,2014-04-28,62,1,0,0,62,0,NULL,NULL,B,0,0,0,10113,LOANANHH,8,20437,AR,
