Calf_ID,mgt_code,Sire_ID,Sire_Breed,Birth_weight,Calving_Ease,Act_Wean_Weight,Age_in_Days,adj_birth_wt,dam,Adj_205_Wt,Frame_Score,ADG,WDA
281,0,20429,LM,65,1,490,200,70,36,536.5,3.8,2.1,2.4
282,0,20437,AR,76,1,602,199,76,0,617.9,5.1,2.6,3.0
283,0,20473,AR,85,1,516,197,85,0,533.5,5.3,2.2,2.6
284,0,20425,AR,80,1,522,196,80,0,542.3,3.9,2.3,2.7
285,0,20473,AR,78,1,500,196,80,18,537.3,5.6,2.2,2.6
286,0,20425,AR,81,1,610,193,81,0,642.9,5.3,2.7,3.2
287,0,20437,AR,66,1,548,192,66,0,580.6,4.4,2.5,2.9
288,0,20447,AR,75,1,453,191,75,0,480.7,4.7,2.0,2.4
289,0,20437,AR,75,1,461,191,77,18,507.1,3.7,2.0,2.4
290,0,20437,AR,49,1,425,191,49,0,452.6,3,2.0,2.2
291,0,20437,AR,65,1,500,190,65,0,534.3,5,2.3,2.6
292,0,20430,LO,62,1,416,190,70,60,503.3,2.7,1.9,2.2
293,0,20429,LM,76,1,586,190,81,40,665.9,4.4,2.7,3.1
294,0,20429,LM,80,1,532,188,85,36,608.4,4.3,2.4,2.8
295,C,20430,LO,55,1,0,5,63,54,-2466.0,-15.7,0.0,0.0
296,0,20447,AR,75,1,502,188,75,0,540.6,4.3,2.3,2.7
297,0,20425,AR,74,1,496,188,74,0,534.2,4,2.2,2.6
298,0,20437,AR,76,1,558,187,76,0,604.4,4.5,2.6,3.0
299,D,20437,AR,93,1,0,68,93,0,-187.4,0,0.0,0.0
300,0,20437,AR,75,1,552,187,75,0,597.9,4.7,2.6,3.0
301,0,20473,AR,87,1,502,187,87,0,541.9,3.8,2.2,2.7
302,0,20429,LM,74,1,538,186,79,40,624.9,4.5,2.5,2.9
303,0,20473,AR,89,1,487,186,91,20,547.5,4.5,2.1,2.6
304,0,20437,AR,70,1,480,185,70,0,524.3,3.3,2.2,2.6
305,0,20437,AR,60,1,397,185,62,18,451.2,2.1,1.8,2.1
306,0,20473,AR,84,1,475,185,84,0,517.3,5,2.1,2.6
307,0,20429,LM,96,1,512,185,101,40,596.4,4.8,2.2,2.8
308,0,20430,LO,65,1,416,184,73,60,515.1,3.3,1.9,2.3
309,0,20437,AR,72,1,487,184,72,0,534.4,4.3,2.3,2.6
310,0,20429,LM,85,1,492,183,90,40,580.3,4.3,2.2,2.7
311,0,20429,LM,82,1,546,183,82,0,601.8,4.8,2.5,3.0
312,0,20437,AR,65,1,412,183,67,18,471.5,3.9,1.9,2.3
313,0,20447,AR,89,1,516,182,89,0,570.0,4.6,2.3,2.8
314,0,20447,AR,85,1,550,182,87,18,626.5,4.8,2.6,3.0
315,0,20430,LO,60,1,424,182,68,54,523.0,3.6,2.0,2.3
316,0,20437,AR,75,1,483,181,77,20,556.8,3.6,2.3,2.7
317,0,20437,AR,65,1,423,181,65,0,470.5,2.9,2.0,2.3
318,0,20429,LM,74,1,469,180,79,40,563.2,3.6,2.2,2.6
319,0,20430,LO,69,1,500,180,77,60,618.8,3.4,2.4,2.8
320,0,20437,AR,70,1,473,179,70,0,531.5,3.9,2.3,2.6
321,0,20473,AR,83,1,493,178,83,0,555.2,4.2,2.3,2.8
322,0,20447,AR,81,1,496,178,81,0,558.9,3.7,2.3,2.8
323,0,20447,AR,85,1,538,177,85,0,609.7,5.2,2.6,3.0
