Calf_ID,Birth_Date,Birth_weight,Calving_Ease,Act_Wean_Weight,Age_in_Days,adj_wt_205,ad_wt_205_count,Frame_Score,Cow_ID,Cow_Breed,Cow_Age,Sire_ID
281,2014-04-27,65,1,490,200,563.325,1,3.8,0,LMLOARAN,3,0
282,2014-04-28,76,1,602,199,648.7522613,1,5.1,0,ARARLOLO,6,0
283,2014-04-30,85,1,516,197,533.5025381,1,5.3,0,ARLOANGV,10,0
284,2014-05-01,80,1,522,196,569.4107143,1,3.9,0,ARLOANAN,8,0
285,2014-05-01,78,1,500,196,564.15,1,5.6,0,ARLOANAN,4,0
286,2014-05-04,81,1,610,193,642.8911917,1,5.3,0,ARLOARAN,6,0
287,2014-05-05,66,1,548,192,580.6354167,1,4.4,0,ARARLOAN,6,0
288,2014-05-06,75,1,453,191,504.7421466,1,4.7,0,ARLOANHH,6,0
289,2014-05-06,75,1,461,191,532.5039267,1,3.7,0,ARLOARAN,4,0
290,2014-05-06,49,1,425,191,475.1882199,1,3,0,ARLOHHAR,8,0
291,2014-05-07,65,1,500,190,561.0592105,1,5,0,ARARLOAN,5,0
292,2014-05-07,62,1,416,190,503.3157895,1,2.7,0,LOLOSHAN,2,0
293,2014-05-07,76,1,586,190,665.8684211,1,4.4,0,LMLOARAN,3,0
294,2014-05-09,80,1,532,188,638.8412234,1,4.3,0,LMLO,3,0
295,2014-05-09,55,1,0,5,0,0,-15.7,0,LOLOANAR,2,0
296,2014-05-09,75,1,502,188,567.6422872,1,4.3,0,ARARLOAN,5,0
297,2014-05-09,74,1,496,188,560.8675532,1,4,0,ARARLOAN,5,0
298,2014-05-10,76,1,558,187,604.3957219,1,4.5,0,ARLOLOHH,6,0
299,2014-05-10,93,1,0,68,0,0,0,0,ARLOARAN,6,0
300,2014-05-10,75,1,552,187,597.9144385,1,4.7,0,ARLOANHH,8,0
301,2014-05-10,87,1,502,187,569.0438503,1,3.8,0,ARLOHHAR,6,0
302,2014-05-11,74,1,538,186,624.8870968,1,4.5,0,LMLO,3,0
303,2014-05-11,89,1,487,186,547.4516129,1,4.5,0,ARLOANAN,4,0
304,2014-05-12,70,1,480,185,524.3243243,1,3.3,0,ARLOANHH,8,0
305,2014-05-12,60,1,397,185,473.777027,1,2.1,0,ARLOANAN,4,0
306,2014-05-12,84,1,475,185,543.1337838,1,5,0,ARLOAN,8,0
307,2014-05-12,96,1,512,185,596.4324324,1,4.8,0,LMLO,3,0
308,2014-05-13,65,1,416,184,515.1467391,1,3.3,0,LOLOARGV,2,0
309,2014-05-13,72,1,487,184,534.3641304,1,4.3,0,ARLOLOHH,8,0
310,2014-05-14,85,1,492,183,580.3278689,1,4.3,0,LMLO,3,0
311,2014-05-14,82,1,546,183,601.7814208,1,4.8,0,LMANLOHH,5,0
312,2014-05-14,65,1,412,183,495.0491803,1,3.9,0,ARLOANAN,4,0
313,2014-05-15,89,1,516,182,569.9615385,1,4.6,0,ARLOAN,8,0
314,2014-05-15,85,1,550,182,657.8365385,1,4.8,0,ARLOANAN,4,0
315,2014-05-15,60,1,424,182,549.1384615,1,3.6,0,LOLOARGV,2,0
316,2014-05-16,75,1,483,181,556.8342541,1,3.6,0,ARLOANAR,4,0
317,2014-05-16,65,1,423,181,493.9930939,1,2.9,0,ARLOANHH,6,0
318,2014-05-17,74,1,469,180,563.1666667,1,3.6,0,LMLO,3,0
319,2014-05-17,69,1,500,180,618.75,1,3.4,0,LOLOANGV,2,0
320,2014-05-18,70,1,473,179,558.1131285,1,3.9,0,ARARLOAN,5,0
321,2014-05-19,83,1,493,178,582.9505618,1,4.2,0,ARLOANHH,8,0
