chaps_id,birthdate,breed,registration,regname,elecid,sireid,cowid,sex,sex_date,birthwt,calvingease,status,herdid
1,3/6/1990,AN,,,,ANGS,Unknown,2,,53,,,H38
2,3/12/1990,AN,,,,ANGS,Unknown,2,,70,,,H38
3,3/15/1990,CH,,,,C109,Unknown,2,,102,,,H38
4,3/15/1990,CH,,,,C109,Unknown,2,,80,,,H38
5,3/17/1990,CH,,,,8060,Unknown,2,,84,,,H38
6,3/18/1990,CH,,,,C525,Unknown,2,,90,,,H38
7,3/18/1990,CH,,,,C109,Unknown,2,,110,,,H38
8,3/18/1990,CH,,,,C718,Unknown,2,,122,,,H38
9,3/20/1990,CH,,,,C525,Unknown,2,,82,,,H38
10,3/21/1990,CH,,,,C109,Unknown,2,,80,,,H38
11,3/23/1990,CH,,,,C525,Unknown,2,,104,,,H38
12,3/26/1990,CH,,,,C525,Unknown,2,,70,,,H38
13,3/27/1990,CH,,,,C525,Unknown,2,,90,,,H38
14,3/28/1990,CH,,,,C109,Unknown,2,,100,,,H38
15,3/30/1990,CH,,,,C406,Unknown,2,,96,,,H38
16,3/31/1990,CH,,,,C406,Unknown,2,,89,,,H38
17,4/2/1990,CH,,,,C406,Unknown,2,,68,,,H38
18,4/6/1990,CH,,,,8018,Unknown,2,,80,,,H38
19,4/8/1990,CH,,,,C119,Unknown,2,,76,,,H38
20,4/8/1990,CH,,,,8018,Unknown,2,,102,,,H38
21,4/13/1990,CH,,,,C133,Unknown,2,,100,,,H38
22,4/14/1990,CH,,,,C525,Unknown,2,,82,,,H38
23,4/15/1990,CH,,,,C109,Unknown,2,,100,,,H38
24,4/25/1990,CH,,,,C525,Unknown,2,,84,,,H38
25,4/26/1990,CH,,,,C525,Unknown,2,,57,,,H38
26,2/28/1990,CH,,,,8018,Unknown,2,,70,,,H38
27,3/1/1990,CH,,,,8018,Unknown,2,,97,,,H38
28,3/7/1990,CH,,,,8018,Unknown,2,,81,,,H38
29,3/10/1990,CH,,,,C109,Unknown,2,,75,,,H38
30,3/10/1990,CH,,,,CH13,Unknown,2,,85,,,H38
31,3/10/1990,CH,,,,CH13,Unknown,2,,93,,,H38
32,3/10/1990,CH,,,,C773,Unknown,2,,78,,,H38
33,3/12/1990,CH,,,,C773,Unknown,2,,86,,,H38
34,3/12/1990,CH,,,,8060,Unknown,2,,75,,,H38
35,3/13/1990,CH,,,,C133,Unknown,2,,87,,,H38
36,3/13/1990,CH,,,,CH13,Unknown,2,,97,,,H38
37,3/15/1990,CH,,,,C718,Unknown,2,,84,,,H38
38,3/14/1990,CH,,,,C119,Unknown,2,,80,,,H38
39,3/15/1990,CH,,,,C613,Unknown,2,,72,,,H38
40,3/16/1990,CH,,,,C718,Unknown,2,,90,,,H38
41,3/15/1990,CH,,,,8018,Unknown,2,,84,,,H38
42,3/16/1990,CH,,,,CH13,Unknown,2,,90,,,H38
43,3/16/1990,CH,,,,CH13,Unknown,2,,115,,,H38
44,3/18/1990,CH,,,,C718,Unknown,2,,97,,,H38
45,3/19/1990,CH,,,,C406,Unknown,2,,79,,,H38
46,3/19/1990,CH,,,,CH11,Unknown,2,,72,,,H38
47,3/19/1990,CH,,,,CH11,Unknown,2,,66,,,H38
48,3/22/1990,CH,,,,C119,Unknown,2,,88,,,H38
49,3/23/1990,CH,,,,C710,Unknown,2,,92,,,H38
50,3/23/1990,CH,,,,C773,Unknown,2,,100,,,H38
51,3/23/1990,CH,,,,C718,Unknown,2,,115,,,H38
52,3/24/1990,CH,,,,C406,Unknown,2,,70,,,H38
53,3/23/1990,CH,,,,C773,Unknown,2,,92,,,H38
54,3/26/1990,CH,,,,C773,Unknown,2,,93,,,H38
55,3/26/1990,CH,,,,C525,Unknown,2,,97,,,H38
56,3/26/1990,CH,,,,8018,Unknown,2,,81,,,H38
57,3/28/1990,CH,,,,C710,Unknown,2,,70,,,H38
58,3/30/1990,CH,,,,CH13,Unknown,2,,87,,,H38
59,3/30/1990,CH,,,,C718,Unknown,2,,87,,,H38
60,3/30/1990,CH,,,,8060,Unknown,2,,88,,,H38
61,3/31/1990,CH,,,,C710,Unknown,2,,84,,,H38
62,3/31/1990,CH,,,,C119,Unknown,2,,78,,,H38
63,3/31/1990,CH,,,,C119,Unknown,2,,88,,,H38
64,3/31/1990,CH,,,,C718,Unknown,2,,110,,,H38
65,4/2/1990,CH,,,,C406,Unknown,2,,82,,,H38
66,4/6/1990,CH,,,,C119,Unknown,2,,81,,,H38
67,4/6/1990,CH,,,,C133,Unknown,2,,82,,,H38
68,4/6/1990,CH,,,,CH13,Unknown,2,,108,,,H38
69,4/8/1990,CH,,,,C773,Unknown,2,,95,,,H38
70,4/8/1990,CH,,,,CH13,Unknown,2,,82,,,H38
71,4/12/1990,CH,,,,C718,Unknown,2,,85,,,H38
72,4/21/1990,CH,,,,C119,Unknown,2,,95,,,H38
73,5/1/1990,CH,,,,C119,Unknown,2,,69,,,H38
74,1/25/1993,LM,,,,UNKNLM,Unknown,2,,77,,,H38
75,1/28/1993,LM,,,,UNKNLM,Unknown,2,,82,,,H38
76,1/30/1993,LM,,,,UNKNLM,Unknown,2,,87,,,H38
77,2/2/1993,CH,,,,UNKNCH,Unknown,2,,65,,,H38
78,2/3/1993,CH,,,,UNKNCH,Unknown,2,,65,,,H38
79,2/3/1993,LM,,,,UNKNLM,Unknown,2,,85,,,H38
80,2/6/1993,LM,,,,UNKNLM,Unknown,2,,70,,,H38
81,2/11/1993,AN,,,,AN74,Unknown,2,,70,,,H38
82,2/11/1993,LM,,,,UNKNLM,Unknown,2,,92,,,H38
83,2/13/1993,AN,,,,AN74,Unknown,2,,80,,,H38
84,2/13/1993,AN,,,,AN74,Unknown,2,,70,,,H38
85,2/15/1993,AN,,,,AN74,Unknown,2,,72,,,H38
86,2/16/1993,AN,,,,AN74,Unknown,2,,82,,,H38
87,3/1/1993,AN,,,,AN20,Unknown,2,,68,,,H38
88,3/6/1993,AN,,,,A114,Unknown,2,,84,,,H38
89,3/7/1993,AN,,,,AN20,Unknown,2,,74,,,H38
90,3/7/1993,AN,,,,A114,Unknown,2,,98,,,H38
91,3/10/1993,CH,,,,919,Unknown,2,,74,,,H38
92,3/10/1993,CH,,,,919,Unknown,2,,72,,,H38
93,3/11/1993,CH,,,,710,Unknown,2,,66,,,H38
94,3/11/1993,CH,,,,UNKNCH,Unknown,2,,82,,,H38
95,3/11/1993,CH,,,,A136,Unknown,2,,78,,,H38
96,3/12/1993,AN,,,,A114,Unknown,2,,96,,,H38
97,3/12/1993,CH,,,,8018,Unknown,2,,76,,,H38
98,3/14/1993,CH,,,,937,Unknown,2,,96,,,H38
99,3/14/1993,CH,,,,919,Unknown,2,,66,,,H38
100,3/14/1993,CH,,,,8018,Unknown,2,,90,,,H38
101,3/14/1993,CH,,,,133,Unknown,2,,86,,,H38
102,3/15/1993,CH,,,,8060,Unknown,2,,84,,,H38
103,3/16/1993,CH,,,,710,Unknown,2,,94,,,H38
104,3/16/1993,CH,,,,710,Unknown,2,,94,,,H38
105,3/16/1993,CH,,,,A118,Unknown,2,,72,,,H38
106,3/17/1993,CH,,,,A136,Unknown,2,,96,,,H38
107,3/17/1993,CH,,,,958,Unknown,2,,76,,,H38
108,3/18/1993,CH,,,,133,Unknown,2,,72,,,H38
109,3/17/1993,CH,,,,710,Unknown,2,,74,,,H38
110,3/18/1993,CH,,,,710,Unknown,2,,90,,,H38
111,3/18/1993,CH,,,,958,Unknown,2,,96,,,H38
112,3/18/1993,CH,,,,9136,Unknown,2,,86,,,H38
113,3/18/1993,CH,,,,710,Unknown,2,,128,,,H38
114,3/19/1993,CH,,,,A136,Unknown,2,,85,,,H38
115,3/20/1993,CH,,,,9136,Unknown,2,,93,,,H38
116,3/19/1993,CH,,,,710,Unknown,2,,89,,,H38
117,3/20/1993,CH,,,,A118,Unknown,2,,85,,,H38
118,3/21/1993,CH,,,,41,Unknown,2,,86,,,H38
119,3/21/1993,CH,,,,919,Unknown,2,,88,,,H38
120,3/21/1993,CH,,,,710,Unknown,2,,85,,,H38
121,3/22/1993,CH,,,,919,Unknown,2,,95,,,H38
122,3/22/1993,CH,,,,UNKNCH,Unknown,2,,88,,,H38
123,3/19/1993,AN,,,,AN22,Unknown,2,,80,,,H38
124,3/24/1993,CH,,,,710,Unknown,2,,72,,,H38
125,3/25/1993,CH,,,,958,Unknown,2,,92,,,H38
126,3/25/1993,CH,,,,919,Unknown,2,,68,,,H38
127,3/26/1993,CH,,,,A136,Unknown,2,,89,,,H38
128,3/26/1993,CH,,,,A136,Unknown,2,,79,,,H38
129,3/26/1993,CH,,,,525,Unknown,2,,92,,,H38
130,3/23/1993,AN,,,,AN22,Unknown,2,,70,,,H38
131,3/26/1993,CH,,,,937,Unknown,2,,80,,,H38
132,3/27/1993,CH,,,,A136,Unknown,2,,88,,,H38
133,3/27/1993,CH,,,,8060,Unknown,2,,76,,,H38
134,3/27/1993,CH,,,,525,Unknown,2,,96,,,H38
135,3/28/1993,CH,,,,9136,Unknown,2,,80,,,H38
136,3/27/1993,CH,,,,710,Unknown,2,,68,,,H38
137,3/28/1993,CH,,,,710,Unknown,2,,85,,,H38
138,3/28/1993,CH,,,,919,Unknown,2,,95,,,H38
139,3/29/1993,CH,,,,A118,Unknown,2,,90,,,H38
140,3/29/1993,CH,,,,937,Unknown,2,,84,,,H38
141,3/30/1993,CH,,,,937,Unknown,2,,80,,,H38
142,3/30/1993,CH,,,,8018,Unknown,2,,82,,,H38
143,3/30/1993,CH,,,,A118,Unknown,2,,95,,,H38
144,3/30/1993,CH,,,,937,Unknown,2,,98,,,H38
145,3/31/1993,CH,,,,8060,Unknown,2,,66,,,H38
146,3/31/1993,CH,,,,A118,Unknown,2,,92,,,H38
147,3/30/1993,CH,,,,A136,Unknown,2,,60,,,H38
148,4/1/1993,CH,,,,937,Unknown,2,,100,,,H38
149,4/1/1993,CH,,,,133,Unknown,2,,80,,,H38
150,4/2/1993,CH,,,,919,Unknown,2,,78,,,H38
151,4/2/1993,CH,,,,A118,Unknown,2,,90,,,H38
152,4/1/1993,CH,,,,9136,Unknown,2,,108,,,H38
153,4/2/1993,CH,,,,A136,Unknown,2,,80,,,H38
154,3/31/1993,CH,,,,937,Unknown,2,,92,,,H38
155,4/2/1993,CH,,,,937,Unknown,2,,100,,,H38
156,4/6/1993,CH,,,,937,Unknown,2,,72,,,H38
157,4/3/1993,CH,,,,919,Unknown,2,,80,,,H38
158,4/3/1993,CH,,,,41,Unknown,2,,100,,,H38
159,4/3/1993,CH,,,,919,Unknown,2,,70,,,H38
160,4/3/1993,CH,,,,919,Unknown,2,,95,,,H38
161,4/5/1993,CH,,,,710,Unknown,2,,82,,,H38
162,4/6/1993,CH,,,,710,Unknown,2,,88,,,H38
163,4/6/1993,CH,,,,958,Unknown,2,,88,,,H38
164,4/6/1993,CH,,,,9136,Unknown,2,,82,,,H38
165,4/7/1993,CH,,,,710,Unknown,2,,80,,,H38
166,4/7/1993,CH,,,,A118,Unknown,2,,91,,,H38
167,4/16/1993,CH,,,,937,Unknown,2,,82,,,H38
168,4/7/1993,CH,,,,A136,Unknown,2,,90,,,H38
169,4/7/1993,CH,,,,8018,Unknown,2,,76,,,H38
170,4/8/1993,CH,,,,958,Unknown,2,,84,,,H38
171,4/8/1993,CH,,,,919,Unknown,2,,94,,,H38
172,4/8/1993,CH,,,,A118,Unknown,2,,70,,,H38
173,4/8/1993,CH,,,,8018,Unknown,2,,110,,,H38
174,4/9/1993,CH,,,,958,Unknown,2,,72,,,H38
175,4/11/1993,CH,,,,8060,Unknown,2,,78,,,H38
176,4/11/1993,CH,,,,919,Unknown,2,,81,,,H38
177,4/12/1993,CH,,,,710,Unknown,2,,99,,,H38
178,4/15/1993,CH,,,,8060,Unknown,2,,90,,,H38
179,4/16/1993,CH,,,,A118,Unknown,2,,82,,,H38
180,4/18/1993,CH,,,,710,Unknown,2,,91,,,H38
181,4/18/1993,CH,,,,937,Unknown,2,,88,,,H38
182,4/18/1993,CH,,,,937,Unknown,2,,98,,,H38
183,4/20/1993,CH,,,,958,Unknown,2,,90,,,H38
184,4/21/1993,CH,,,,41,Unknown,2,,94,,,H38
185,4/22/1993,CH,,,,525,Unknown,2,,82,,,H38
