chaps_id,CalfID,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,stage
1,0001A,,0,0,0,0,0,0,I
2,0005A,,0,0,0,0,0,0,I
3,0006A,,0,0,0,0,0,0,I
4,0007A,,0,0,0,0,0,0,I
5,0009A,,0,0,0,0,0,0,I
6,0010A,,0,0,0,0,0,0,I
7,0011A,,0,0,0,0,0,0,I
8,0012A,,0,0,0,0,0,0,I
9,0013A,,0,0,0,0,0,0,I
10,0015A,,0,0,0,0,0,0,I
11,0019A,,0,0,0,0,0,0,I
12,0022A,,0,0,0,0,0,0,I
13,0023A,,0,0,0,0,0,0,I
14,0024A,,0,0,0,0,0,0,I
15,0027A,,0,0,0,0,0,0,I
16,0030A,,0,0,0,0,0,0,I
17,0032A,,0,0,0,0,0,0,I
18,0033A,,0,0,0,0,0,0,I
19,0034A,,0,0,0,0,0,0,I
20,0035A,,0,0,0,0,0,0,I
21,0038A,,0,0,0,0,0,0,I
22,0039A,,0,0,0,0,0,0,I
23,0040A,,0,0,0,0,0,0,I
24,0042A,,0,0,0,0,0,0,I
25,0043A,,0,0,0,0,0,0,I
26,501,,0,0,0,0,0,0,I
27,502,,0,0,0,0,0,0,I
28,504,,0,0,0,0,0,0,I
29,505,,0,0,0,0,0,0,I
30,506,,0,0,0,0,0,0,I
31,507,,0,0,0,0,0,0,I
32,508,,0,0,0,0,0,0,I
33,509,,0,0,0,0,0,0,I
34,510,,0,0,0,0,0,0,I
35,511,,0,0,0,0,0,0,I
36,512,,0,0,0,0,0,0,I
37,513,,0,0,0,0,0,0,I
38,514,,0,0,0,0,0,0,I
39,515,,0,0,0,0,0,0,I
40,516,,0,0,0,0,0,0,I
41,517,,0,0,0,0,0,0,I
42,518,,0,0,0,0,0,0,I
43,519,,0,0,0,0,0,0,I
44,521,,0,0,0,0,0,0,I
45,522,,0,0,0,0,0,0,I
46,523,,0,0,0,0,0,0,I
47,524,,0,0,0,0,0,0,I
48,525,,0,0,0,0,0,0,I
49,526,,0,0,0,0,0,0,I
50,527,,0,0,0,0,0,0,I
51,528,,0,0,0,0,0,0,I
52,529,,0,0,0,0,0,0,I
53,530,,0,0,0,0,0,0,I
54,532,,0,0,0,0,0,0,I
55,533,,0,0,0,0,0,0,I
56,534,,0,0,0,0,0,0,I
57,536,,0,0,0,0,0,0,I
58,537,,0,0,0,0,0,0,I
59,538,,0,0,0,0,0,0,I
60,539,,0,0,0,0,0,0,I
61,540,,0,0,0,0,0,0,I
62,541,,0,0,0,0,0,0,I
63,542,,0,0,0,0,0,0,I
64,543,,0,0,0,0,0,0,I
65,544,,0,0,0,0,0,0,I
66,545,,0,0,0,0,0,0,I
67,546,,0,0,0,0,0,0,I
68,547,,0,0,0,0,0,0,I
69,548,,0,0,0,0,0,0,I
70,549,,0,0,0,0,0,0,I
71,550,,0,0,0,0,0,0,I
72,551,,0,0,0,0,0,0,I
73,552,,0,0,0,0,0,0,I
74,3001,,0,0,0,0,0,0,I
75,3003,,0,0,0,0,0,0,I
76,3008,,0,0,0,0,0,0,I
77,3011,,0,0,0,0,0,0,I
78,3015,,0,0,0,0,0,0,I
79,3016,,0,0,0,0,0,0,I
80,3024,,0,0,0,0,0,0,I
81,3035,,0,0,0,0,0,0,I
82,3036,,0,0,0,0,0,0,I
83,3041,,0,0,0,0,0,0,I
84,3044,,0,0,0,0,0,0,I
85,3052,,0,0,0,0,0,0,I
86,3059,,0,0,0,0,0,0,I
87,3081,,0,0,0,0,0,0,I
88,3087,,0,0,0,0,0,0,I
89,3088,,0,0,0,0,0,0,I
90,3089,,0,0,0,0,0,0,I
91,3092,,0,0,0,0,0,0,I
92,3093,,0,0,0,0,0,0,I
93,3094,,0,0,0,0,0,0,I
94,3096,,0,0,0,0,0,0,I
95,3098,,0,0,0,0,0,0,I
96,3107,,0,0,0,0,0,0,I
97,3109,,0,0,0,0,0,0,I
98,3114,,0,0,0,0,0,0,I
99,3115,,0,0,0,0,0,0,I
100,3118,,0,0,0,0,0,0,I
101,3120,,0,0,0,0,0,0,I
102,3123,,0,0,0,0,0,0,I
103,3128,,0,0,0,0,0,0,I
104,3129,,0,0,0,0,0,0,I
105,3130,,0,0,0,0,0,0,I
106,3131,,0,0,0,0,0,0,I
107,3132,,0,0,0,0,0,0,I
108,3133,,0,0,0,0,0,0,I
109,3139,,0,0,0,0,0,0,I
110,3140,,0,0,0,0,0,0,I
111,3141,,0,0,0,0,0,0,I
112,3142,,0,0,0,0,0,0,I
113,3143,,0,0,0,0,0,0,I
