HerdID,Chaps_ID,CalfID,birth_date,breed,registration,regname,elecid,sire_chapsID,SireID,Cow_chapsID,CowID,CowAge,sex,birthwt,calvingease,state,sex_date
H38,1,0001A,1990-03-06,AN,,,,20177,ANGS,-2,Unknown,2,2,53,,,
H38,2,0005A,1990-03-12,AN,,,,20177,ANGS,-2,Unknown,2,2,70,,,
H38,3,0006A,1990-03-15,CH,,,,20196,C109,-2,Unknown,8,2,102,,,
H38,4,0007A,1990-03-15,CH,,,,20196,C109,-2,Unknown,9,2,80,,,
H38,5,0009A,1990-03-17,CH,,,,20152,8060,-2,Unknown,8,2,84,,,
H38,6,0010A,1990-03-18,CH,,,,20201,C525,-2,Unknown,6,2,90,,,
H38,7,0011A,1990-03-18,CH,,,,20196,C109,-2,Unknown,6,2,110,,,
H38,8,0012A,1990-03-18,CH,,,,20204,C718,-2,Unknown,3,2,122,,,
H38,9,0013A,1990-03-20,CH,,,,20201,C525,-2,Unknown,7,2,82,,,
H38,10,0015A,1990-03-21,CH,,,,20196,C109,-2,Unknown,8,2,80,,,
H38,11,0019A,1990-03-23,CH,,,,20201,C525,-2,Unknown,8,2,104,,,
H38,12,0022A,1990-03-26,CH,,,,20201,C525,-2,Unknown,8,2,70,,,
H38,13,0023A,1990-03-27,CH,,,,20201,C525,-2,Unknown,7,2,90,,,
H38,14,0024A,1990-03-28,CH,,,,20196,C109,-2,Unknown,8,2,100,,,
H38,15,0027A,1990-03-30,CH,,,,20200,C406,-2,Unknown,3,2,96,,,
H38,16,0030A,1990-03-31,CH,,,,20200,C406,-2,Unknown,5,2,89,,,
H38,17,0032A,1990-04-02,CH,,,,20200,C406,-2,Unknown,6,2,68,,,
H38,18,0033A,1990-04-06,CH,,,,20150,8018,-2,Unknown,5,2,80,,,
H38,19,0034A,1990-04-08,CH,,,,20197,C119,-2,Unknown,11,2,76,,,
H38,20,0035A,1990-04-08,CH,,,,20150,8018,-2,Unknown,7,2,102,,,
H38,21,0038A,1990-04-13,CH,,,,20198,C133,-2,Unknown,5,2,100,,,
H38,22,0039A,1990-04-14,CH,,,,20201,C525,-2,Unknown,8,2,82,,,
H38,23,0040A,1990-04-15,CH,,,,20196,C109,-2,Unknown,8,2,100,,,
H38,24,0042A,1990-04-25,CH,,,,20201,C525,-2,Unknown,9,2,84,,,
H38,25,0043A,1990-04-26,CH,,,,20201,C525,-2,Unknown,6,2,57,,,
H38,26,0501,1990-02-28,CH,,,,20150,8018,-2,Unknown,5,2,70,,,
H38,27,0502,1990-03-01,CH,,,,20150,8018,-2,Unknown,6,2,97,,,
H38,28,0504,1990-03-07,CH,,,,20150,8018,-2,Unknown,4,2,81,,,
H38,29,0505,1990-03-10,CH,,,,20196,C109,-2,Unknown,5,2,75,,,
H38,30,0506,1990-03-10,CH,,,,20210,CH13,-2,Unknown,7,2,85,,,
H38,31,0507,1990-03-10,CH,,,,20210,CH13,-2,Unknown,7,2,93,,,
H38,32,0508,1990-03-10,CH,,,,20205,C773,-2,Unknown,6,2,78,,,
H38,33,0509,1990-03-12,CH,,,,20205,C773,-2,Unknown,7,2,86,,,
H38,34,0510,1990-03-12,CH,,,,20152,8060,-2,Unknown,9,2,75,,,
H38,35,0511,1990-03-13,CH,,,,20198,C133,-2,Unknown,7,2,87,,,
H38,36,0512,1990-03-13,CH,,,,20210,CH13,-2,Unknown,6,2,97,,,
H38,37,0513,1990-03-15,CH,,,,20204,C718,-2,Unknown,4,2,84,,,
H38,38,0514,1990-03-14,CH,,,,20197,C119,-2,Unknown,4,2,80,,,
H38,39,0515,1990-03-15,CH,,,,20202,C613,-2,Unknown,6,2,72,,,
H38,40,0516,1990-03-16,CH,,,,20204,C718,-2,Unknown,5,2,90,,,
H38,41,0517,1990-03-15,CH,,,,20150,8018,-2,Unknown,4,2,84,,,
H38,42,0518,1990-03-16,CH,,,,20210,CH13,-2,Unknown,8,2,90,,,
H38,43,0519,1990-03-16,CH,,,,20210,CH13,-2,Unknown,6,2,115,,,
H38,44,0521,1990-03-18,CH,,,,20204,C718,-2,Unknown,4,2,97,,,
H38,45,0522,1990-03-19,CH,,,,20200,C406,-2,Unknown,9,2,79,,,
H38,46,0523,1990-03-19,CH,,,,20209,CH11,-2,Unknown,5,2,72,,,
H38,47,0524,1990-03-19,CH,,,,20209,CH11,-2,Unknown,7,2,66,,,
H38,48,0525,1990-03-22,CH,,,,20197,C119,-2,Unknown,4,2,88,,,
H38,49,0526,1990-03-23,CH,,,,20203,C710,-2,Unknown,8,2,92,,,
