chaps_id,cowID,Bull_turnout_date,conceptdate,breeddate,breedwt,breedcond,weandate,weanwt,Wean_Condition_Score
10055,N3087,2005-06-16,,,0,0,,0,0
10055,N3087,2006-06-16,,,0,0,19-Sep-07,1095,7
10055,N3087,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1055,6
10055,N3087,2008-06-10,,,0,0,,0,0
10055,N3087,2009-06-18,,,0,0,,0,0
10055,N3087,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1160,6
10055,N3087,2011-08-08,14-Oct-11,14-Oct-11,1160,6,15-Nov-12,976,5
10055,N3087,2012-08-01,18-Oct-12,18-Oct-12,1000,5,,0,0
10056,N3099,2005-06-16,02-Aug-05,,0,0,,0,0
10056,N3099,2006-06-16,,,0,0,19-Sep-07,1115,8
10056,N3099,2007-06-18,19-Sep-07,,0,0,24-Oct-08,1045,6
10056,N3099,2008-06-10,,,0,0,,0,0
10056,N3099,2009-06-18,,,0,0,29-Oct-09,1120,7
10056,N3099,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1185,7
10056,N3099,2011-08-08,14-Oct-11,14-Oct-11,1185,7,15-Nov-12,1095,7
10056,N3099,2012-08-01,18-Oct-12,20-Jul-12,1190,7,14-Nov-13,1130,5
10056,N3099,2013-08-01,14-Nov-13,,0,0,14-Nov-13,1130,5
10057,N3326,2005-06-16,02-Aug-05,,0,0,,0,0
10057,N3326,2006-06-16,,,0,0,19-Sep-07,1030,6
10057,N3326,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1010,6
10057,N3326,2008-06-10,,,0,0,,0,0
10057,N3326,2009-06-18,,,0,0,29-Oct-09,1115,6
10057,N3326,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1150,7
10057,N3326,2011-08-08,14-Oct-11,14-Oct-11,1150,7,15-Nov-12,1040,4
10057,N3326,2012-08-01,18-Oct-12,18-Oct-12,1045,4,,0,0
10058,P4051,2005-06-16,,,0,0,,0,0
10059,P4082,2005-06-16,02-Aug-05,,0,0,,0,0
10059,P4082,2006-06-16,,,0,0,19-Sep-07,984,6
10059,P4082,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1030,5
10059,P4082,2008-06-10,,,0,0,,0,0
10059,P4082,2009-06-18,,,0,0,16-Oct-09,115,5
10059,P4082,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1220,6
10059,P4082,2011-08-08,14-Oct-11,14-Oct-11,1220,6,15-Nov-12,1105,5
10059,P4082,2012-08-01,18-Oct-12,20-Jul-12,1200,6,14-Nov-13,1190,5
10059,P4082,2013-08-01,14-Nov-13,17-Jul-13,1215,6,19-Nov-14,1155,6
10060,P4098,2005-06-16,02-Aug-05,,0,0,,0,0
10060,P4098,2006-06-16,,,0,0,19-Sep-07,1110,7
10060,P4098,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1025,5
10060,P4098,2008-06-10,,,0,0,,0,0
10061,P4099,2005-06-16,02-Aug-05,,0,0,,0,0
10061,P4099,2006-06-16,,,0,0,19-Sep-07,1055,6
10061,P4099,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1125,6
10061,P4099,2008-06-10,,,0,0,,0,0
10061,P4099,2009-06-18,,,0,0,29-Oct-09,1230,7
10062,P4108,2005-06-16,02-Aug-05,,0,0,,0,0
10062,P4108,2006-06-16,,,0,0,19-Sep-07,1100,7
10062,P4108,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1090,6
10062,P4108,2008-06-10,,,0,0,,0,0
10062,P4108,2009-06-18,,,0,0,16-Oct-09,1115,7
10062,P4108,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1275,8
10062,P4108,2011-08-08,14-Oct-11,14-Oct-11,1275,8,15-Nov-12,1015,5
10062,P4108,2012-08-01,18-Oct-12,20-Jul-12,1265,6,14-Nov-13,1215,6
10062,P4108,2013-08-01,14-Nov-13,,0,0,14-Nov-13,1215,6
10063,P4132,2005-06-16,,,0,0,,0,0
10063,P4132,2006-06-16,,,0,0,19-Sep-07,1005,8
10063,P4132,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1032,7
10063,P4132,2008-06-10,,,0,0,,0,0
10063,P4132,2009-06-18,,,0,0,16-Oct-09,1095,7
10063,P4132,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1140,5
10064,P4191,2005-06-16,02-Aug-05,,0,0,,0,0
10064,P4191,2006-06-16,,,0,0,19-Sep-07,1020,7
10064,P4191,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1015,5
10064,P4191,2008-06-10,,,0,0,,0,0
10064,P4191,2009-06-18,,,0,0,16-Oct-09,1110,5
10069,R5033,2005-06-16,,,0,0,,0,0
10069,R5033,2006-06-16,,,0,0,,0,0
10070,R5099,2005-06-16,,,0,0,,0,0
10070,R5099,2006-06-16,,16-Mar-07,940,7,19-Sep-07,900,6
10070,R5099,2007-06-18,19-Sep-07,,0,0,17-Oct-08,974,6
10070,R5099,2008-06-10,,,0,0,,0,0
10070,R5099,2009-06-18,,,0,0,16-Oct-09,1095,6
10070,R5099,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1165,5
10070,R5099,2011-08-08,14-Oct-11,14-Oct-11,1165,5,15-Nov-12,1085,6
10070,R5099,2012-08-01,18-Oct-12,20-Jul-12,1155,6,,0,0
369,R5132,2005-06-16,,,0,0,,0,0
369,R5132,2006-06-16,,16-Mar-07,1005,7,19-Sep-07,980,6
369,R5132,2007-06-18,19-Sep-07,,0,0,17-Oct-08,998,5
10072,R5151,2005-06-16,,,0,0,,0,0
10072,R5151,2006-06-16,,,0,0,,0,0
10074,R5167,2005-06-16,,,0,0,,0,0
10074,R5167,2006-06-16,,16-Mar-07,904,6,30-Oct-07,1390,5
10074,R5167,2007-06-18,19-Sep-07,,0,0,17-Oct-08,932,5
10074,R5167,2008-06-10,,,0,0,,0,0
10074,R5167,2009-06-18,,,0,0,29-Oct-09,1070,7
10076,R5187,2005-06-16,,,0,0,,0,0
10077,R5281,2005-06-16,,,0,0,,0,0
10077,R5281,2006-06-16,,16-Mar-07,822,7,19-Sep-07,864,6
10077,R5281,2007-06-18,19-Sep-07,,0,0,17-Oct-08,864,5
10077,R5281,2008-06-10,,,0,0,,0,0
10077,R5281,2009-06-18,,,0,0,16-Oct-09,994,6
10077,R5281,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1135,7
10078,R5282,2005-06-16,,,0,0,,0,0
10078,R5282,2006-06-16,,16-Mar-07,1005,7,19-Sep-07,1005,6
10078,R5282,2007-06-18,19-Sep-07,,0,0,17-Oct-08,1090,5
10078,R5282,2008-06-10,,,0,0,,0,0
10078,R5282,2009-06-18,,,0,0,16-Oct-09,1165,6
10078,R5282,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1290,5
10078,R5282,2011-08-08,14-Oct-11,14-Oct-11,1290,5,15-Nov-12,1125,5
10078,R5282,2012-08-01,18-Oct-12,18-Oct-12,1125,5,,0,0
10082,S6040,2006-06-16,,15-Mar-07,548,0,,0,0
10082,S6040,2007-06-18,19-Sep-07,,0,0,30-Oct-08,1040,7
10082,S6040,2008-06-10,,,0,0,,0,0
10082,S6040,2009-06-18,,,0,0,16-Oct-09,1020,6
10082,S6040,2010-06-01,16-Aug-10,,0,0,10-Nov-11,1050,5
10082,S6040,2011-08-08,10-Nov-11,10-Nov-11,1050,5,15-Nov-12,1045,6
10082,S6040,2012-08-01,18-Oct-12,18-Oct-12,1035,6,,0,0
372,S6072,2006-06-16,,15-Mar-07,486,0,,0,0
372,S6072,2007-06-18,19-Sep-07,,0,0,30-Oct-08,798,6
372,S6072,2008-06-10,,,0,0,,0,0
372,S6072,2009-06-18,,,0,0,,0,0
372,S6072,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1085,5
372,S6072,2011-08-08,14-Oct-11,14-Oct-11,1085,5,15-Nov-12,1010,6
372,S6072,2012-08-01,18-Oct-12,20-Jul-12,1075,6,14-Nov-13,1115,4
372,S6072,2013-08-01,14-Nov-13,17-Jul-13,1120,5,17-Nov-14,1015,4
10084,S6092,2006-06-16,,15-Mar-07,594,0,,0,0
10084,S6092,2007-06-18,19-Sep-07,,0,0,,0,0
373,S6093,2006-06-16,,15-Mar-07,566,0,,0,0
373,S6093,2007-06-18,19-Sep-07,,0,0,16-Oct-08,908,5
373,S6093,2008-06-10,,,0,0,,0,0
373,S6093,2009-06-18,,,0,0,16-Oct-09,1030,6
373,S6093,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1155,5
373,S6093,2011-08-08,14-Oct-11,14-Oct-11,1155,5,15-Nov-12,1100,5
373,S6093,2012-08-01,18-Oct-12,20-Jul-12,1230,5,14-Nov-13,1220,4
373,S6093,2013-08-01,14-Nov-13,17-Jul-13,1180,4,17-Nov-14,1215,5
10086,S6094,2006-06-16,,15-Mar-07,576,0,,0,0
10086,S6094,2007-06-18,19-Sep-07,,0,0,16-Oct-08,886,5
10086,S6094,2008-06-10,,,0,0,,0,0
10086,S6094,2009-06-18,,,0,0,29-Oct-09,1020,7
10086,S6094,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1175,7
10086,S6094,2011-08-08,14-Oct-11,14-Oct-11,1175,7,15-Nov-12,1085,5
10086,S6094,2012-08-01,18-Oct-12,20-Jul-12,1140,6,14-Nov-13,1225,6
10086,S6094,2013-08-01,14-Nov-13,17-Jul-13,1170,5,17-Nov-14,1210,5
375,S6096,2006-06-16,,15-Mar-07,502,0,,0,0
375,S6096,2007-06-18,19-Sep-07,,0,0,30-Oct-08,864,7
375,S6096,2008-06-10,,,0,0,,0,0
375,S6096,2009-06-18,,,0,0,29-Oct-09,972,6
375,S6096,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1120,5
375,S6096,2011-08-08,14-Oct-11,14-Oct-11,1120,5,15-Nov-12,1040,6
375,S6096,2012-08-01,18-Oct-12,20-Jul-12,1190,5,14-Nov-13,1120,4
375,S6096,2013-08-01,14-Nov-13,17-Jul-13,1160,5,19-Nov-14,1090,5
10088,S6104,2006-06-16,,15-Mar-07,482,0,,0,0
10088,S6104,2007-06-18,19-Sep-07,,0,0,30-Oct-08,808,6
10088,S6104,2008-06-10,,,0,0,,0,0
10088,S6104,2009-06-18,,,0,0,29-Oct-09,848,5
10088,S6104,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1005,5
10088,S6104,2011-08-08,14-Oct-11,14-Oct-11,1005,5,15-Nov-12,886,4
10088,S6104,2012-08-01,18-Oct-12,20-Jul-12,982,5,14-Nov-13,984,3
10088,S6104,2013-08-01,14-Nov-13,19-Jul-13,1010,3,19-Nov-14,952,5
10089,S6108,2006-06-16,,15-Mar-07,474,0,,0,0
10089,S6108,2007-06-18,19-Sep-07,,0,0,,0,0
