chaps_id,CowID,date_culled,reasonculled
369,R5132,2008-11-04,K
377,S6121,2009-11-03,J
395,U8001,2011-12-01,J
396,U8004,2010-11-10,J
398,U8008,2010-11-10,J
401,U8032,2011-03-31,K
406,U8057,2011-03-31,K
407,U8058,2012-12-18,J
408,U8080,2011-03-31,K
409,U8091,2012-12-18,L
422,U8200,2012-12-18,L
426,U8256,2011-12-01,J
429,U8268,2010-11-10,J
439,U8313,2011-03-31,K
452,W9060,2011-05-03,L
467,W9157,2013-11-14,K
470,W9186,2011-03-31,K
475,W9207,2011-12-01,K
479,W9217,2012-12-18,L
485,W9251,2012-12-18,L
10055,N3087,2013-01-24,J
10056,N3099,2013-11-14,J
10057,N3326,2013-01-24,J
10058,P4051,2005-12-06,K
10060,P4098,2009-11-03,K
10061,P4099,2010-11-10,J
10062,P4108,2013-11-14,J
10063,P4132,2011-12-01,J
10064,P4191,2010-11-10,J
10069,R5033,2007-04-26,L
10070,R5099,2013-06-06,G
10072,R5151,2007-04-26,L
10073,R5166,2006-07-16,G
10074,R5167,2010-11-10,J
10075,R5182,2006-07-16,G
10076,R5187,2006-10-04,K
10077,R5281,2011-12-01,J
10078,R5282,2012-12-18,K
10082,S6040,2012-12-18,K
10084,S6092,2008-05-06,J
10089,S6108,2008-07-28,K
10090,S6109,2008-03-26,L
10091,S6112,2008-08-12,L
10092,S6114,2008-07-30,J
10097,S6134,2008-11-12,K
10098,S6135,2012-03-05,G
10099,S6147,2008-11-04,K
10100,S6158,2007-12-06,K
10101,S6163,2010-11-10,J
10105,S6184,2010-11-10,J
10106,S6185,2011-05-31,G
10107,S6196,2010-11-10,J
10109,S6198,2010-11-10,J
10110,S6208,2009-11-03,K
10112,S6241,2008-09-04,J
10114,S6244,2011-12-01,J
10116,S6250,2011-12-01,J
10117,S6259,2011-12-01,J
10124,U8012,2013-11-14,K
10125,U8018,2010-06-18,J
10126,U8019,2011-03-31,K
10130,U8042,2011-12-01,J
10131,U8043,2013-11-14,K
10141,U8105,2012-12-18,L
10144,U8149,2010-11-10,J
10148,U8226,2011-05-03,L
10149,U8235,2010-11-10,J
10150,U8236,2011-05-03,L
10153,U8257,2010-11-10,J
10167,W9122,2012-12-18,K
10189,X0279,2012-12-18,K
10190,X0286,2012-12-18,J
10207,Y1116,2013-11-14,K
10208,Y1209,2013-11-14,K
10211,Y1232,2013-06-06,G
10215,Y1251,2013-11-14,J
