HerdID,Chaps_ID,CowID,birth_date,breed,regnum,regname,elecid,Sire_ChapsID,Sire,Cow_ChapsID,dam,CowAge,sex,birthwt,calvingease,state,sex_date
H38,10167,W9122,2009-04-01,ANARHPAN,,,982000128138377,20139,7AN221,,N3272,,2,,,,
H38,463,W9123,2009-04-01,ANLOANGV,,,982000128138516,20139,7AN221,10059,P4082,,2,,,,
H38,466,W9148,2009-04-03,ARLOANHH,,,982000025313798,20360,S6032,10102,S6164,,2,,,,
H38,467,W9157,2009-04-04,ARLOANAN,,,982000025313627,20425,UNKNAR,10086,S6094,,2,,,,
H38,470,W9186,2009-04-08,ARLOANHH,,,982000025314024,20361,S6042,10078,R5282,,2,,,,
H38,471,W9187,2009-04-09,ARLOANAN,,,982000128138469,20425,UNKNAR,10101,S6163,,2,,,,
H38,472,W9188,2009-04-09,ARLOANHH,,,982000128138494,20425,UNKNAR,10104,S6183,,2,,,,
H38,475,W9207,2009-04-13,ARLOANAN,,,982000128138453,20355,S48,10060,P4098,,2,,,,
H38,478,W9215,2009-04-15,ARLOLOHH,,,982000128138391,20425,UNKNAR,373,S6093,,2,,,,
H38,10176,W9216,2009-04-16,ARANANAN,,,982000128138354,20355,S48,,N3089,,2,,,,
H38,479,W9217,2009-04-16,ARLOANHH,,,982000025313610,20360,S6032,10082,S6040,,2,,,,
H38,480,W9224,2009-04-18,ARLOANHH,,,982000025313768,20355,S48,10074,R5167,,2,,,,
H38,485,W9251,2009-05-07,ARLOAN,,,982000025313502,20355,S48,10061,P4099,,2,,,,
H38,10180,X0087,2010-03-24,LOANARAN,,,949000000249537,20430,UNKNLO,,S6026,,2,,,,
H38,10181,X0089,2010-03-24,LOARANAN,,,949000000006162,20430,UNKNLO,,U8218,,2,,,,
H38,10182,X0180,2010-04-09,LOARHHHH,,,949000000072799,20430,UNKNLO,,U8096,,2,,,,
H38,10183,X0259,2010-03-18,LOANMX,,,949000000249703,20269,LEXUS,,,,2,,,,
H38,10184,X0262,2010-03-20,LOANAN,,,949000000249653,20433,UTAH,,,,2,,,,
H38,10185,X0264,2010-03-20,LOANSM,,,949000000248096,20373,SHERMAN,,,,2,,,,
H38,10186,X0266,2010-03-21,LOANAN,,,949000000007332,20221,DURBIN,,,,2,,,,
H38,10187,X0269,2010-03-22,LOANAN,,,949000000008887,20433,UTAH,,,,2,,,,
H38,10188,X0271,2010-03-24,LOANAN,,,949000000075050,20221,DURBIN,,,,2,,,,
H38,10189,X0279,2010-03-29,LOANAN,,,949000000101499,20373,SHERMAN,,,,2,,,,
H38,10190,X0286,2010-04-06,LOANAN,,,949000000072062,20430,UNKNLO,,,,2,,,,
H38,10191,X0287,2010-04-07,LOANAN,,,949000000016054,20430,UNKNLO,,,,2,,,,
H38,10192,X0290,2010-04-08,LOANAN,,,949000000199108,20430,UNKNLO,,,,2,,,,
H38,10193,X0291,2010-04-12,LOAN,,,949000000007726,20430,UNKNLO,,,,2,,,,
H38,10194,X0293,2010-04-16,LOANAN,,,949000000004817,20430,UNKNLO,,,,2,,,,
H38,10195,X0294,2010-04-17,LOANAN,,,949000000071785,20430,UNKNLO,,,,2,,,,
H38,10196,X0298,2010-04-27,LOANAN,,,949000000007471,20430,UNKNLO,,,,2,,,,
H38,10197,Y1002,2011-02-27,LOARAN,,,982000172933780,20120,59LO1,,W9126,,2,,,,
H38,10198,Y1008,2011-02-28,LOARANHH,,,982000172933803,20120,59LO1,,W9185,,2,,,,
H38,10199,Y1019,2011-03-04,LOARHHAR,,,982000172933797,20120,59LO1,,W9234,,2,,,,
H38,10200,Y1020,2011-03-04,LOANHH,,,982000172933781,20120,59LO1,,W9012,,2,,,,
H38,10201,Y1022,2011-03-04,LOARANAR,,,982000172933792,20120,59LO1,,W9190,,2,,,,
H38,10202,Y1027,2011-03-05,LOANAR,,,982000172933786,20120,59LO1,,W9095,,2,,,,
H38,10203,Y1054,2011-03-14,LOARANHH,,,982000172933788,20430,UNKNLO,,W9149,,2,,,,
H38,10204,Y1073,2011-03-17,LOARANHH,,,982000172933806,20430,UNKNLO,,W9250,,2,,,,
H38,10205,Y1089,2011-03-20,LOARANHP,,,982000172933789,20430,UNKNLO,,W9165,,2,,,,
H38,10206,Y1090,2011-03-20,LOARAN,,,982000172933802,20430,UNKNLO,,W9137,,2,,,,
H38,10207,Y1116,2011-03-24,LOANHHHH,,,,20430,UNKNLO,,W9024,,2,,,,
H38,10208,Y1209,2011-04-15,LOANANHH,,,,20430,UNKNLO,,W9083,,2,,,,
H38,10209,Y1229,2011-03-30,LO,,,982000128138579,20430,UNKNLO,,1006,,2,,,,
H38,10210,Y1230,2011-04-03,LO,,,982000128138751,20430,UNKNLO,,1019,,2,,,,
H38,10211,Y1232,2011-04-04,LO,,,982000128138623,20430,UNKNLO,,1027,,2,,,,
H38,10212,Y1234,2011-04-07,LO,,,982000128138722,20430,UNKNLO,,1038,,2,,,,
H38,10213,Y1235,2011-04-07,LO,,,982000128138672,20430,UNKNLO,,1039,,2,,,,
H38,10214,Y1242,2011-04-20,LO,,,982000128138591,20430,UNKNLO,,1140,,2,,,,
H38,10215,Y1251,2011-04-30,LO,,,982000128138489,20430,UNKNLO,,1305,,2,,,,
H38,10216,Y1253,2011-05-05,LO,,,982000128138966,20430,UNKNLO,,1349,,2,,,,
H38,10217,Z2061,2012-05-21,LOANGV,,006Z5ID,982000172933956,20430,UNKNLO,,X0002,,2,,,,
H38,10218,Z2083,2012-05-24,LOANARMX,,006Z5ID,982000172933942,20127,6T,,X0181,,2,,,,
H38,10219,Z2084,2012-05-24,LOSHAR,,006Z5ID,982000172933976,20088,30T,,X0104,,2,,,,
H38,10220,Z2111,2012-05-27,LOARGV,,006Z5ID,982000172933957,20430,UNKNLO,,X0084,,2,,,,
H38,10221,Z2198,2012-06-17,LOSHAN,,006Z5ID,982000172933934,20127,6T,,X0199,,2,,,,
H38,10222,Z2202,2012-06-18,LOARGV,,006Z5ID,982000172933964,20430,UNKNLO,,X0043,,2,,,,
H38,10000,148465,,AR,148465,,,20425,UNKNAR,,,,2,,,,
H38,10001,151595,,AR,151595,,,20425,UNKNAR,,,,2,,,,
H38,10002,19306637,1992-03-08,HH,19306637,SR SANDI 272,,20031,19189990,,19161582,,2,,,,
H38,10003,19381981,1993-03-09,HH,19381981,LS SANDI 372,,20031,19189990,,19236483,,2,,,,
H38,10004,19382093,1993-04-03,HH,19382093,SR PREVA 343,,20033,19249880,,18769107,,2,,,,
H38,10005,19532315,1995-05-03,HH,19532315,SR VENCI 5111,,20038,19358298,,19161667,,2,,,,
H38,10006,19532358,1995-03-19,HH,19532358,SR BRIDGET 511,,20036,19292672,,19306529,,2,,,,
H38,10007,19555135,1995-08-25,HH,19555135,BB MS PATRIOT 5332,,20030,19151357,,19319084,,2,,,,
H38,10008,19564652,1996-02-04,HH,19564652,ORE 4040 MISS 6041,,20043,19432948,,19432956,,2,,,,
H38,10009,19570055,,HH,19570055,,,20040,19396807,,19285956,,2,,,,
H38,10010,19583593,1996-04-01,HH,19583593,SR MANDY 622,,20044,19436461,,18959010,,2,,,,
H38,10011,19583594,1996-04-02,HH,19583594,SR BONITA 626,,20027,18869978,,18958920,,2,,,,
