HerdID,Chaps_ID,SireID,Expr1003,breed,regnum,regname,elecid,Sire_ChapsID,sire,Cow_ChapsID,dam,CowAge,sex,birthwt,calvingease,state,sex_date
H38,20130,7089,1998-10-05,AR,575520,,,,372629,,312222,,1,,,,
H38,20131,710,,CH,,,,,,,,,1,,,,
H38,20132,722,,AN,11592069,TRAVELER 722,,,,,,,1,,,,
H38,20133,750S,2006-06-27,LO,,,949000000015754,,U319,,377M,,1,,,,
H38,20134,76,,AN,,,,,,,,,1,,,,
H38,20135,76P1,2010-02-06,AN,17119123,,949000000196859,,13512009,,15786974,,1,,,,
H38,20136,7AN127,,AN,,,,,,,,,1,,,,
H38,20137,7AN207,,AN,,,,,,,,,1,,,,
H38,20138,7AN212,,AN,,,,,,,,,1,,,,
H38,20139,7AN221,,AN,,,,,,,,,1,,,,
H38,20140,7AN222,,AN,,,,,,,,,1,,,,
H38,20141,7AN226,,AN,,,,,,,,,1,,,,
H38,20142,7AN231,,AN,,,,,,,,,1,,,,
H38,20143,7AN241,,AN,,,,,,,,,1,,,,
H38,20144,7AN243,,AN,,,,,,,,,1,,,,
H38,20145,7AN249,,AN,,,,,,,,,1,,,,
H38,20146,7AN278,,AN,,,,,,,,,1,,,,
H38,20147,7CH87,2000-01-16,CH,M602060,,,,TT82F,,9108,,1,,,,
H38,20148,7SM42,1997-04-12,SM,1937373,,,,BLKDEST,,CIRCLS,,1,,,,
H38,20149,7SM45,2001-09-16,SM,2152782,,,,GWLUCKYD,,9104J,,1,,,,
H38,20150,8018,,CH,,,,,,,,,1,,,,
H38,20151,8044,,AN,,,,,,,,,1,,,,
H38,20152,8060,,CH,,,,,,,,,1,,,,
H38,20153,8524,,AN,,,,,,,,,1,,,,
H38,20154,9110,,AN,,,,,,,,,1,,,,
H38,20155,9136,,CH,,,,,,,,,1,,,,
H38,20156,9161,2009-03-19,AR,1337167,,949000000073201,,,,,,1,,,,
H38,20157,919,,CH,,,,,,,,,1,,,,
H38,20158,9221,2009-04-01,AR,1337190,,949000000008806,,1111871,,1031383,,1,,,,
H38,20159,9239,,AR,,,,,,,,,1,,,,
H38,20160,9245,2009-04-09,AR,1337162,,,,1187150,,575560,,1,,,,
H38,20161,936,,GV,,,,,,,,,1,,,,
H38,20162,937,,CH,,,,,,,,,1,,,,
H38,20163,9427,,,,,,,,,,,1,,,,
H38,20164,95430,,HH,,,,,,,,,1,,,,
H38,20165,958,,CH,,,,,,,,,1,,,,
H38,20166,96910,,HH,,,,,,,,,1,,,,
H38,20167,A,,AN,,,,,,,,,1,,,,
H38,20168,A114,,AN,,,,,,,,,1,,,,
H38,20169,A118,,CH,,,,,,,,,1,,,,
H38,20170,A136,,CH,,,,,,,,,1,,,,
H38,20171,A7,,AN,,,,,,,,,1,,,,
H38,20172,AN20,,AN,,,,,,,,,1,,,,
H38,20173,AN22,,AN,,,,,,,,,1,,,,
H38,20174,AN47,,AN,,,,,,,,,1,,,,
H38,20175,AN74,,AN,,,,,,,,,1,,,,
H38,20176,AN95,,AN,,,,,,,,,1,,,,
H38,20177,ANGS,,AN,,,,,,,,,1,,,,
H38,20178,ANKODYNA,1970-02-15,AR,65513,,,,,,,,1,,,,
H38,20179,ANW2,,AN,,,,,,,,,1,,,,
H38,20180,AR0186,1990-01-29,AR,326175,,,,,,,,1,,,,
H38,20181,AR221,,AR,,,,,,,,,1,,,,
H38,20182,B,,AN,,,,,,,,,1,,,,
H38,20183,BAND234,,AN,08505294,BAND 234 OF IDEAL 3163,,,,,,,1,,,,
H38,20184,BANDO155,,AN,09891499,TEHAMA BANDO 155,,20183,BAND234,,,,1,,,,
H38,20185,BBASCOMR,,AR,1293,,,,,,,,1,,,,
H38,20186,BFCC4912,1997-04-14,AR,574873,,,20191,BUCC1658,10053,MRM1431,,1,,,,
H38,20187,BFLOCRVC,1978-03-17,AR,,100598,,20316,OKDBLCHF,10051,MDMADCP,,1,,,,
H38,20188,BKTHIRZ4,,AR,,,,,,,,,1,,,,
H38,20189,BLKVBB,,,,,,,,,,,1,,,,
H38,20190,BR545,,AN,10711858,B/R MISTER T 545,,,,,,,1,,,,
