chaps_id,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,stage
1,02-Jan-00,0,0,0,0,0,0,F
2,02-Jan-00,0,0,0,0,0,0,F
3,02-Jan-00,0,0,0,0,0,0,F
4,02-Jan-00,0,0,0,0,0,0,F
5,02-Jan-00,0,0,0,0,0,0,F
6,02-Jan-00,0,0,0,0,0,0,F
7,02-Jan-00,0,0,0,0,0,0,F
8,02-Jan-00,0,0,0,0,0,0,F
9,02-Jan-00,0,0,0,0,0,0,F
10,02-Jan-00,0,0,0,0,0,0,F
11,02-Jan-00,0,0,0,0,0,0,F
12,02-Jan-00,0,0,0,0,0,0,F
13,02-Jan-00,0,0,0,0,0,0,F
14,02-Jan-00,0,0,0,0,0,0,F
15,02-Jan-00,0,0,0,0,0,0,F
16,02-Jan-00,0,0,0,0,0,0,F
17,02-Jan-00,0,0,0,0,0,0,F
18,02-Jan-00,0,0,0,0,0,0,F
19,02-Jan-00,0,0,0,0,0,0,F
20,02-Jan-00,0,0,0,0,0,0,F
21,02-Jan-00,0,0,0,0,0,0,F
22,02-Jan-00,0,0,0,0,0,0,F
23,02-Jan-00,0,0,0,0,0,0,F
24,02-Jan-00,0,0,0,0,0,0,F
25,02-Jan-00,0,0,0,0,0,0,F
26,02-Jan-00,0,0,0,0,0,0,F
27,02-Jan-00,0,0,0,0,0,0,F
28,02-Jan-00,0,0,0,0,0,0,F
29,02-Jan-00,0,0,0,0,0,0,F
30,02-Jan-00,0,0,0,0,0,0,F
31,02-Jan-00,0,0,0,0,0,0,F
32,02-Jan-00,0,0,0,0,0,0,F
33,02-Jan-00,0,0,0,0,0,0,F
34,02-Jan-00,0,0,0,0,0,0,F
35,02-Jan-00,0,0,0,0,0,0,F
36,02-Jan-00,0,0,0,0,0,0,F
37,02-Jan-00,0,0,0,0,0,0,F
38,02-Jan-00,0,0,0,0,0,0,F
39,02-Jan-00,0,0,0,0,0,0,F
40,02-Jan-00,0,0,0,0,0,0,F
41,02-Jan-00,0,0,0,0,0,0,F
42,02-Jan-00,0,0,0,0,0,0,F
43,02-Jan-00,0,0,0,0,0,0,F
44,02-Jan-00,0,0,0,0,0,0,F
45,02-Jan-00,0,0,0,0,0,0,F
46,02-Jan-00,0,0,0,0,0,0,F
47,02-Jan-00,0,0,0,0,0,0,F
48,02-Jan-00,0,0,0,0,0,0,F
49,02-Jan-00,0,0,0,0,0,0,F
50,02-Jan-00,0,0,0,0,0,0,F
51,02-Jan-00,0,0,0,0,0,0,F
52,02-Jan-00,0,0,0,0,0,0,F
53,02-Jan-00,0,0,0,0,0,0,F
54,02-Jan-00,0,0,0,0,0,0,F
55,02-Jan-00,0,0,0,0,0,0,F
56,02-Jan-00,0,0,0,0,0,0,F
57,02-Jan-00,0,0,0,0,0,0,F
58,02-Jan-00,0,0,0,0,0,0,F
59,02-Jan-00,0,0,0,0,0,0,F
60,02-Jan-00,0,0,0,0,0,0,F
61,02-Jan-00,0,0,0,0,0,0,F
62,02-Jan-00,0,0,0,0,0,0,F
63,02-Jan-00,0,0,0,0,0,0,F
64,02-Jan-00,0,0,0,0,0,0,F
65,02-Jan-00,0,0,0,0,0,0,F
66,02-Jan-00,0,0,0,0,0,0,F
67,02-Jan-00,0,0,0,0,0,0,F
68,02-Jan-00,0,0,0,0,0,0,F
