chaps_id,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,scrotum_circum,scrotum_date,pelvic_area,pelvic_date,status,notes,365_day_weight,stage
1,19-Oct-90,415,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
2,19-Oct-90,460,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
3,19-Oct-90,605,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
4,18-Oct-90,500,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
5,18-Oct-90,393,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
6,19-Oct-90,590,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
7,18-Oct-90,640,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
8,22-Oct-90,495,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
9,18-Oct-90,557,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
10,18-Oct-90,536,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
11,18-Oct-90,587,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
12,18-Oct-90,518,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
13,18-Oct-90,468,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
14,18-Oct-90,603,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
15,25-Oct-90,627,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
16,25-Oct-90,581,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
17,19-Oct-90,530,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
18,18-Oct-90,360,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
