HerdID,cowID,birthdate,breed,regnum,regname,elecID,sire,dam,notes,enteredherd,calfid,source,active,dateculled,reasonculled,commentsculled,mpda,comments,chaps_id
H38,148465,,AR,148465,,,UNKNAR,,DAM OF 359436,2005-03-01,,R,P,,,,,,10000
H38,151595,,AR,151595,,,UNKNAR,,DAM OF405675,,,R,P,,,,,,10001
H38,19306637,1992-03-08,HH,19306637,SR SANDI 272,,19189990,19161582,,,,R,P,,,,,,10002
H38,19381981,1993-03-09,HH,19381981,LS SANDI 372,,19189990,19236483,,,,R,P,,,,,,10003
H38,19382093,1993-04-03,HH,19382093,SR PREVA 343,,19249880,18769107,,,,R,P,,,,,,10004
H38,19532315,1995-05-03,HH,19532315,SR VENCI 5111,,19358298,19161667,,,,R,P,,,,,,10005
H38,19532358,1995-03-19,HH,19532358,SR BRIDGET 511,,19292672,19306529,,,,R,P,,,,,,10006
H38,19555135,1995-08-25,HH,19555135,BB MS PATRIOT 5332,,19151357,19319084,,,,R,P,,,,,,10007
H38,19564652,1996-02-04,HH,19564652,ORE 4040 MISS 6041,,19432948,19432956,,,,R,P,,,,,,10008
H38,19570055,,HH,19570055,,,19396807,19285956,,,,R,P,,,,,,10009
H38,19583593,1996-04-01,HH,19583593,SR MANDY 622,,19436461,18959010,,,,R,P,,,,,,10010
H38,19583594,1996-04-02,HH,19583594,SR BONITA 626,,18869978,18958920,,,,R,P,,,,,,10011
H38,19583647,1996-03-25,HH,19583647,SR MANDY 616,,19436461,19236584,,,,R,P,,,,,,10012
H38,271159,,AR,274459,,,UNKNAR,,DAM OF,2005-03-01,,R,P,,,,,,10013
H38,359436,,AR,359436,,,312276,148465,DAM OF 667864,,,R,P,,,,,,10014
H38,40005441,1996-09-01,HH,40005441,BB MS MARK DON 6329,,19458354,19378860,,,,R,P,,,,,,10015
H38,40042479,1997-03-21,HH,40042479,SR YAMPETTE 710,,17949501,18846366,,,,R,P,,,,,,10016
H38,40042525,1997-04-03,HH,40042525,SR YAMPETTE 736,,17949501,19236634,,,,R,P,,,,,,10017
H38,40045544,1997-04-19,HH,40045544,BB MS 4033 LAD 7223,,19436462,19306127,,,,R,P,,,,,,10018
H38,40045567,1997-04-28,HH,40045567,BB MS RED STAN,,19283697,19142515,,,,R,P,,,,,,10019
H38,405675,,AR,405675,,,185629,151595,DAM OF 4130,2005-03-01,,R,P,,,,,,10020
H38,41007692,1998-04-09,HH,41007692,SR LADY DOM 8155,,19498500,19458797,,,,R,P,,,,,,10021
H38,41034505,1998-03-13,HH,41034505,BB MS WASH 8045,,19278446,19435984,,,,R,P,,,,,,10022
H38,41034704,1998-04-10,HH,41034704,BB MS 4017 LAD 8160,,19427728,19523897,,,,R,P,,,,,,10023
H38,41053020,1998-04-25,HH,41053020,SR GOLDIE 851,,40036740,19050987,,,,R,P,,,,,,10024
H38,41053182,1998-04-13,HH,41053182,DS GOLDIE 843,,40036740,19381968,,,,R,P,,,,,,10025
H38,41053189,1998-03-26,HH,41053189,SR WESTY 813,,40036739,19532301,,,,R,P,,,,,,10026
