chaps_id,birthdate,breed,regnum,regname,elecid,sireid,dam,sex,sex_date,Bw,CE,state,herdid
20000,,CH,,,,133,,1,,,,,H38
20001,2000-03-03,LO,,,9.49E+14,013K,F0014,1,,,,,H38
20002,2000-02-05,LO,,,9.49E+14,02K,FF16,1,,,,,H38
20003,2000-02-11,LO,,,9.49E+14,05K,FF16,1,,,,,H38
20004,2002-03-14,LO,,,,05M,P096,1,,,,,H38
20005,2010-02-15,SM,2570119,,9.49E+14,05R7,2289288,1,,,,,H38
20006,2012-01-11,SM,2669481,006Z5ID,9.49E+14,05Z7,2570117,1,,,,,H38
20007,,AR,788190,,,1137,405675,1,,,,,H38
20008,2010-01-01,SH,,,9.49E+14,11R3,x4101844,1,,,,,H38
20009,1989-02-07,AN,11270134,LANDMARK BANDO 912,,127,LGL774,1,,,,,H38
20010,1990-02-01,AN,11451945,PAPA 8810 R R HERO 0915,,132,PA8810,1,,,,,H38
20011,1983-03-23,AN,10312571,BASIN EMULATION 5653,,1400,BS1051,1,,,,,H38
20012,1990-12-31,AN,11569005,B F RAINMAN 9118 117,,141,BFT7112,1,,,,,H38
20013,1991-02-11,AN,11621009,M D G CHAIRMAN 1041,,142,MD9114,1,,,,,H38
20014,1990-09-06,AN,11520398,G A R PRECISION,,144,9J9GAR,1,,,,,H38
20015,1990-04-05,AN,11402007,IRONWOOD IMPACT PP 022,,1445,PP338,1,,,,,H38
20016,1992-03-31,AN,11783725,,,1458,11275016,1,,,,,H38
20017,1988-02-13,AN,11121512,SUMMITCREST TRAVELER X044,,155,SUM044,1,,,,,H38
20018,1999-01-24,AN,13384754,,,1550,12933972,1,,,,,H38
20019,,CH,,,,160,,1,,,,,H38
20020,,AR,,,,161AR161,,1,,,,,H38
20021,,AR,326175,,,161AR21,,1,,,,,H38
20022,,AN,,,,176,,1,,,,,H38
20023,,HH,,,,17949501,,1,,,,,H38
20024,,AN,,,,180,,1,,,,,H38
20025,,AR,,,,185629,,1,,,,,H38
20026,,HH,,,,18682140,,1,,,,,H38
20027,1987-05-17,HH,18869978,BB L1 DOM 7462,,18869978,18508765,1,,,,,H38
20028,,HH,,,,18979369,,1,,,,,H38
20029,,HH,,,,19107241,,1,,,,,H38
20030,1990-04-09,HH,19151357,BB PATRIOT 0293,,19151357,18650505,1,,,,,H38
20031,1989-03-08,HH,19189990,96 SANDMAN 55Y,,19189990,42056561,1,,,,,H38
20032,2010-09-06,SH,x4179087,,9.82E+14,191X,x4095135,1,,,,,H38
20033,1991-04-24,HH,19249880,B&S PREVAIL BC 1042,,19249880,18972877,1,,,,,H38
20034,,HH,19278446,BB WASHINGTON 2041,,19278446,,1,,,,,H38
20035,1991-08-05,HH,19283697,BB RED STAN 1476 1ET,,19283697,18679187,1,,,,,H38
20036,1992-01-31,HH,19292672,CTY BRIGADER 22B,,19292672,18704719,1,,,,,H38
20037,,HH,,,,19302922,,1,,,,,H38
20038,1993-04-03,HH,19358298,F MASTER 369 1ET,,19358298,19201999,1,,,,,H38
20039,,HH,,,,19395148,,1,,,,,H38
20040,,HH,19396807,JA LI DOMINO 3565,,19396807,,1,,,,,H38
20041,,HH,,,,19408550,,1,,,,,H38
20042,1994-01-25,HH,19427728,BB COM STD  4017 1ET,,19427728,18090899,1,,,,,H38
20043,1994-02-16,HH,19432948,ORE 75B 4040 1ET,,19432948,18511517,1,,,,,H38
20044,1994-02-08,HH,19436461,BB 7Z STD LAD 4032,,19436461,18786314,1,,,,,H38
20045,1994-02-08,HH,19436462,BB 7Z STD LAD 4033,,19436462,19061693,1,,,,,H38
20046,1994-04-13,HH,19458354,BB MARK DONALD 4209,,19458354,19223864,1,,,,,H38
20047,,HH,,,,19461176,,1,,,,,H38
20048,,HH,,,,19476026,,1,,,,,H38
20049,1995-02-18,HH,19498500,ANK BB DOM 5036 1ET,,19498500,18923705,1,,,,,H38
20050,1996-01-19,HH,19563937,CHURCHILL PATROL 630,,19563937,19432792,1,,,,,H38
20051,1996-09-09,HH,19599204,AY MARK DOMINO 7926,,19599204,19408065,1,,,,,H38
20052,1996-02-25,AN,12564177,,,196,12130258,1,,,,,H38
20053,2010-09-10,SH,x4179085,,,198X,x4095132,1,,,,,H38
20054,2011-01-01,SM,,,,19Y7,19Y7,1,,,,,H38
20055,,AN,,,,205,,1,,,,,H38
20056,1998-02-08,AN,13009379,,,207,12559297,1,,,,,H38
20057,2010-02-08,AN,17119109,,9.49E+14,20K1,13780525,1,,,,,H38
20058,2012-05-10,LM,2005695,006Z5ID,9.49E+14,2100Z,1849759,1,,,,,H38
20059,,AN,,,,211,,1,,,,,H38
20060,1995-08-14,AN,12548568,,,212,11647241,1,,,,,H38
20061,,HP,,,,2141,,1,,,,,H38
20062,,CH,,,,2152,,1,,,,,H38
20063,2012-03-23,AR,1548050,006Z5ID,9.49E+14,2184Z,1259976,1,,,,,H38
20064,,SM,,,,2186,,1,,,,,H38
20065,,,,,,22,,1,,,,,H38
20066,,,,,,221,,1,,,,,H38
20067,,,,,,222,,1,,,,,H38
20068,,,,,,226,,1,,,,,H38
20069,,AN,,,,228,,1,,,,,H38
20070,2012-04-20,AR,1547993,006Z5ID,9.49E+14,2293Z,1041707,1,,,,,H38
20071,,AN,,,,231,,1,,,,,H38
20072,,GV,,,,231GV,,1,,,,,H38
20073,,GV,,,,236Y,,1,,,,,H38
20074,,AN,,,,237,,1,,,,,H38
20075,,HH,2584005,BP SANDMAN 146D,,2584005,,1,,,,,H38
20076,2011-08-17,SH,x4190244,006Z5ID,9.82E+14,28Y,x4046959,1,,,,,H38
20077,2011-01-01,AN,17119121,,,28Y1,52S1,1,,,,,H38
20078,2012-05-01,LM,2005690,006Z5ID,9.49E+14,295Z,1932517,1,,,,,H38
20079,,AR,,,,299558,,1,,,,,H38
20080,,AN,,,,29AN1400,,1,,,,,H38
20081,,AN,,,,29AN1458,,1,,,,,H38
20082,,AN,,,,29AN1550,,1,,,,,H38
20083,2003-02-13,AR,,,,29AR0205,2254,1,,,,,H38
20084,2004-05-01,LO,FM3991,,,29P,FF123,1,,,,,H38
20085,2010-01-01,SH,,,9.49E+14,29S3,x4121225,1,,,,,H38
20086,,LO,,,,304P,MISSDKTA,1,,,,,H38
20087,2002-02-25,LO,,,9.82E+14,307M,FM9,1,,,,,H38
20088,2004-05-01,LO,FM3990,,,30T,FF156,1,,,,,H38
20089,2011-01-01,SM,2619614,,,30Y7,80L7,1,,,,,H38
20090,2012-01-31,SM,2669479,006Z5ID,9.49E+14,30Z7,2364441,1,,,,,H38
20091,,AR,312276,,,312276,,1,,,,,H38
20092,,AR,316788,,,316788,,1,,,,,H38
20093,1992-03-28,AN,11793344,,,336C,,1,,,,,H38
20094,,AR,372968,,,372968,,1,,,,,H38
20095,2004-05-12,LO,FM3992,,,37P,FF151,1,,,,,H38
20096,2012-02-04,SM,2669482,006Z5ID,9.82E+14,39Z7,2460422,1,,,,,H38
20097,,DR,7079,,,3FSM,,1,,,,,H38
20098,1996-01-07,HH,40036739,,,40036739,2548883,1,,,,,H38
20099,1995-01-19,HH,40036740,,,40036740,2396123,1,,,,,H38
20100,1997-05-15,HH,40049272,,,40049272,19273999,1,,,,,H38
20101,2004-03-25,AR,992320,,9.82009E+14,4076,667864,1,,,,,H38
20102,2004-03-14,AR,992251,,9.82009E+14,4082,802634,1,,,,,H38
20103,2004-03-17,AR,992275,,9.82009E+14,4098,416033,1,,,,,H38
20104,,CH,,,,41,,1,,,,,H38
20105,1998-01-28,HH,41003694,SR 4411 MARK 8037,,41003694,19410898,1,,,,,H38
20106,1999-04-24,HH,41139401,SR MARK DON 9219,,41139401,19571110,1,,,,,H38
20107,2004-03-13,AR,992323,,9.82009E+14,4130,684093,1,,,,,H38
20108,1998-01-14,HH,42035398,BP 146D SANDMAN 46H,,42035398,42035388,1,,,,,H38
20109,1997-02-21,HH,42035426,FA BRITISHER 126G,,42035426,42035424,1,,,,,H38
20110,1998-03-23,HH,4200609,MW PRAIRIE 68H,,42200609,42200607,1,,,,,H38
20111,2004-03-28,LO,FM3988,,,4P,FF2903,1,,,,,H38
20112,2010-02-02,SM,2570106,,9.49E+14,50P7,2364451,1,,,,,H38
20113,,CH,,Skogen Charolais 5230 Sons,,5230,,1,,,,,H38
20114,,CH,,,,525,,1,,,,,H38
20115,2010-01-24,AN,17119108,,9.49E+14,52U1,16375661,1,,,,,H38
20116,2010-02-10,SM,2570112,,9.49E+14,53P7,2242073,1,,,,,H38
20117,2010-02-16,SM,2570120,,9.49E+14,54T7,2397437,1,,,,,H38
20118,,CH,,Skogen Charolais 5681 Sons,,5681,,1,,,,,H38
20119,,CH,,Skogen Charolais 5932 Sons,,5932,,1,,,,,H38
20120,,LO,,,,59LO1,,1,,,,,H38
20121,,LO,,,,60J,TRIANGL,1,,,,,H38
20122,,CH,,,,6133,,1,,,,,H38
20123,1994-03-14,AN,12292752,NDSU CRUZLINER 62D1,,62D1,,1,,,,,H38
20124,2010-01-01,LO,,,9.49E+14,65X,,1,,,,,H38
20125,1991-01-29,AN,11554190,B/R TRAVELER 130,,689,BR972,1,,,,,H38
20126,2004-04-02,LO,FM3989,,,6P,FF2177,1,,,,,H38
20127,2004-04-02,LO,FM3989,,,6T,FF2177,1,,,,,H38
20128,2004-03-18,LO,PM3987,,,701P,XF1549,1,,,,,H38
20129,2010-01-01,LO,,,9.49E+14,701X,,1,,,,,H38
20130,1998-10-05,AR,575520,,,7089,312222,1,,,,,H38
20131,,CH,,,,710,,1,,,,,H38
20132,,AN,11592069,TRAVELER 722,,722,,1,,,,,H38
20133,2006-06-27,LO,,,9.49E+14,750S,377M,1,,,,,H38
20134,,AN,,,,76,,1,,,,,H38
20135,2010-02-06,AN,17119123,,9.49E+14,76P1,15786974,1,,,,,H38
20136,,AN,,,,7AN127,,1,,,,,H38
20137,,AN,,,,7AN207,,1,,,,,H38
20138,,AN,,,,7AN212,,1,,,,,H38
20139,,AN,,,,7AN221,,1,,,,,H38
20140,,AN,,,,7AN222,,1,,,,,H38
20141,,AN,,,,7AN226,,1,,,,,H38
20142,,AN,,,,7AN231,,1,,,,,H38
20143,,AN,,,,7AN241,,1,,,,,H38
20144,,AN,,,,7AN243,,1,,,,,H38
20145,,AN,,,,7AN249,,1,,,,,H38
20146,,AN,,,,7AN278,,1,,,,,H38
20147,2000-01-16,CH,M602060,,,7CH87,9108,1,,,,,H38
20148,1997-04-12,SM,1937373,,,7SM42,CIRCLS,1,,,,,H38
20149,2001-09-16,SM,2152782,,,7SM45,9104J,1,,,,,H38
20150,,CH,,,,8018,,1,,,,,H38
20151,,AN,,,,8044,,1,,,,,H38
20152,,CH,,,,8060,,1,,,,,H38
20153,,AN,,,,8524,,1,,,,,H38
20154,,AN,,,,9110,,1,,,,,H38
20155,,CH,,,,9136,,1,,,,,H38
20156,2009-03-19,AR,1337167,,9.49E+14,9161,,1,,,,,H38
20157,,CH,,,,919,,1,,,,,H38
20158,2009-04-01,AR,1337190,,9.49E+14,9221,1031383,1,,,,,H38
20159,,AR,,,,9239,,1,,,,,H38
20160,2009-04-09,AR,1337162,,,9245,575560,1,,,,,H38
20161,,GV,,,,936,,1,,,,,H38
20162,,CH,,,,937,,1,,,,,H38
20163,,,,,,9427,,1,,,,,H38
20164,,HH,,,,95430,,1,,,,,H38
20165,,CH,,,,958,,1,,,,,H38
20166,,HH,,,,96910,,1,,,,,H38
20167,,AN,,,,A,,1,,,,,H38
20168,,AN,,,,A114,,1,,,,,H38
20169,,CH,,,,A118,,1,,,,,H38
20170,,CH,,,,A136,,1,,,,,H38
20171,,AN,,,,A7,,1,,,,,H38
20172,,AN,,,,AN20,,1,,,,,H38
20173,,AN,,,,AN22,,1,,,,,H38
20174,,AN,,,,AN47,,1,,,,,H38
20175,,AN,,,,AN74,,1,,,,,H38
20176,,AN,,,,AN95,,1,,,,,H38
20177,,AN,,,,ANGS,,1,,,,,H38
20178,1970-02-15,AR,65513,,,ANKODYNA,,1,,,,,H38
20179,,AN,,,,ANW2,,1,,,,,H38
20180,1990-01-29,AR,326175,,,AR0186,,1,,,,,H38
20181,,AR,,,,AR221,,1,,,,,H38
20182,,AN,,,,B,,1,,,,,H38
20183,,AN,8505294,BAND 234 OF IDEAL 3163,,BAND234,,1,,,,,H38
